[-12.125, -112.3125, -73.625]
[-12.125, -112.3125, -73.625]
[-29.0, -144.5, -95.375]
[-29.0, -144.5, -95.375]
[-29.0, -144.5, -95.375]
[-39.0625, -170.6875, -117.3125]
[-52.875, -195.125, -141.4375]
[-52.875, -195.125, -141.4375]
[-76.9375, -207.8125, -172.6875]
[-76.9375, -207.8125, -172.6875]
[-76.9375, -207.8125, -172.6875]
[-105.1875, -211.25, -200.0]
[-105.1875, -211.25, -200.0]
[-126.1875, -206.8125, -214.25]
[-126.1875, -206.8125, -214.25]
[-126.1875, -206.8125, -214.25]
[-139.5, -201.4375, -221.9375]
[-138.75, -185.8125, -232.9375]
[-138.75, -185.8125, -232.9375]
[-141.9375, -172.1875, -240.8125]
[-141.9375, -172.1875, -240.8125]
[-141.9375, -172.1875, -240.8125]
[-148.75, -160.75, -233.375]
[-145.5625, -135.9375, -217.25]
[-145.5625, -135.9375, -217.25]
[-145.5625, -135.9375, -217.25]
[-109.625, -83.75, -207.25]
[-109.625, -83.75, -207.25]
[-165.125, -71.125, -184.125]
[-165.125, -71.125, -184.125]
[-165.125, -71.125, -184.125]
[-155.1875, -43.625, -136.625]
[-95.3125, -11.3125, -100.1875]
[-95.3125, -11.3125, -100.1875]
[-71.6875, 3.9375, -67.0625]
[-71.6875, 3.9375, -67.0625]
[-71.6875, 3.9375, -67.0625]
[-80.8125, 6.875, -45.75]
[-96.0, 5.0625, -31.0625]
[-96.0, 5.0625, -31.0625]
[-85.3125, 13.8125, -12.125]
[-85.3125, 13.8125, -12.125]
[-85.3125, 13.8125, -12.125]
[-54.3125, 28.75, 0.375]
[-54.3125, 28.75, 0.375]
[-54.3125, 28.75, 0.375]
[-42.375, 34.5, 6.25]
[-42.375, 34.5, 6.25]
[-45.875, 32.875, 13.875]
[-37.4375, 29.9375, 18.0625]
[-37.4375, 29.9375, 18.0625]
[-34.5625, 22.4375, 13.0625]
[-25.5, 13.375, 11.8125]
[-25.5, 13.375, 11.8125]
[-25.5, 13.375, 11.8125]
[-11.1875, 3.5625, 13.375]
[-1.125, -4.75, 8.0625]
[-1.125, -4.75, 8.0625]
[-0.8125, -11.375, 0.5625]
[-0.8125, -11.375, 0.5625]
[-0.8125, -11.375, 0.5625]
[-2.5, -12.3125, 0.75]
[-1.3125, -6.3125, 5.5]
[-1.3125, -6.3125, 5.5]
[-1.3125, -6.3125, 5.5]
[-2.5625, -0.625, 9.375]
[-2.5625, -0.625, 9.375]
[-0.6875, 1.75, 9.9375]
[-0.6875, 1.75, 9.9375]
[-0.1875, 1.8125, 10.0]
[4.6875, 1.75, 8.9375]
[4.6875, 1.75, 8.9375]
[4.6875, 1.75, 8.9375]
[1.1875, 1.0, 3.75]
[1.1875, 1.0, 3.75]
[-4.875, 2.375, -2.8125]
[-4.875, 2.375, -2.8125]
[-4.875, 2.375, -2.8125]
[-6.4375, 5.4375, -4.1875]
[-4.5625, 6.0, -1.4375]
[-4.5625, 6.0, -1.4375]
[2.0, 4.8125, 3.125]
[8.75, 2.625, 4.5625]
[8.75, 2.625, 4.5625]
[11.375, 1.6875, 2.8125]
[11.375, 1.6875, 2.8125]
[14.875, -0.375, 0.25]
[14.875, -0.375, 0.25]
[16.625, -4.0, -1.4375]
[16.625, -4.0, -1.4375]
[24.375, -2.75, -1.5625]
[24.375, -2.75, -1.5625]
[36.3125, 3.6875, -1.6875]
[36.3125, 3.6875, -1.6875]
[36.3125, 3.6875, -1.6875]
[32.5, 4.75, 2.25]
[32.5, 4.75, 2.25]
[25.4375, 3.6875, 9.1875]
[25.4375, 3.6875, 9.1875]
[49.1875, 13.6875, 20.9375]
[85.4375, 37.6875, 41.125]
[85.4375, 37.6875, 41.125]
[113.75, 59.75, 62.8125]
[113.75, 59.75, 62.8125]
[128.625, 79.3125, 89.5]
[128.625, 79.3125, 89.5]
[128.625, 79.3125, 89.5]
[127.0625, 101.9375, 117.4375]
[127.0625, 101.9375, 117.4375]
[128.75, 122.5, 140.5625]
[128.75, 122.5, 140.5625]
[143.75, 146.125, 154.0]
