[134.625, 168.4375, 149.75]
[91.625, 135.1875, 127.9375]
[91.625, 135.1875, 127.9375]
[91.625, 135.1875, 127.9375]
[91.625, 135.1875, 127.9375]
[50.375, 93.6875, 93.3125]
[50.375, 93.6875, 93.3125]
[50.375, 93.6875, 93.3125]
[50.375, 93.6875, 93.3125]
[16.25, 46.875, 58.375]
[16.25, 46.875, 58.375]
[3.0, 30.9375, 52.8125]
[7.0, 31.0, 46.0625]
[7.0, 31.0, 46.0625]
[7.0, 31.0, 46.0625]
[7.0, 31.0, 46.0625]
[12.5, 29.8125, 19.25]
[12.5, 29.8125, 19.25]
[0.3125, 20.5, 8.6875]
[0.3125, 20.5, 8.6875]
[0.3125, 20.5, 8.6875]
[0.3125, 20.5, 8.6875]
[14.875, 20.4375, -13.875]
[14.875, 20.4375, -13.875]
[19.0625, 30.3125, -14.125]
[19.0625, 30.3125, -14.125]
[19.0625, 30.3125, -14.125]
[19.0625, 30.3125, -14.125]
[49.125, 76.625, -17.625]
[49.125, 76.625, -17.625]
[49.125, 76.625, -17.625]
[49.875, 74.5, -17.4375]
[49.875, 74.5, -17.4375]
[49.875, 74.5, -17.4375]
[68.875, 58.875, -44.8125]
[68.875, 58.875, -44.8125]
[68.875, 58.875, -44.8125]
[113.75, 62.875, -62.5]
[113.75, 62.875, -62.5]
[113.75, 62.875, -62.5]
[127.9375, 58.6875, -80.0625]
[127.9375, 58.6875, -80.0625]
[154.875, 75.25, -80.875]
[154.875, 75.25, -80.875]
[154.875, 75.25, -80.875]
[202.25, 89.125, -70.875]
[202.25, 89.125, -70.875]
[202.25, 89.125, -70.875]
[199.1875, 78.875, -64.1875]
[199.1875, 78.875, -64.1875]
[199.1875, 78.875, -64.1875]
[199.1875, 78.875, -64.1875]
[178.625, 40.5, -135.0]
[178.625, 40.5, -135.0]
[119.875, 3.0, -182.5625]
[119.875, 3.0, -182.5625]
[44.8125, 2.3125, -148.8125]
[44.8125, 2.3125, -148.8125]
[44.8125, 2.3125, -148.8125]
[59.125, 2.4375, -7.8125]
[59.125, 2.4375, -7.8125]
[59.125, 2.4375, -7.8125]
[-25.0, -16.4375, 34.5625]
[-25.0, -16.4375, 34.5625]
[-25.0, -16.4375, 34.5625]
[-70.1875, -45.1875, 41.25]
[-70.1875, -45.1875, 41.25]
[-70.1875, -45.1875, 41.25]
[-91.125, -62.875, 10.625]
[-91.125, -62.875, 10.625]
[-91.125, -62.875, 10.625]
[-91.125, -62.875, 10.625]
[-91.125, -62.875, 10.625]
[-114.8125, -59.125, -106.375]
[-114.8125, -59.125, -106.375]
[-114.8125, -59.125, -106.375]
[-114.8125, -59.125, -106.375]
[-53.9375, 12.8125, -133.1875]
[-53.9375, 12.8125, -133.1875]
[-27.5, 34.0625, -114.875]
[-27.5, 34.0625, -114.875]
[-27.5, 34.0625, -114.875]
[-27.5, 34.0625, -114.875]
[7.5, 27.125, -51.8125]
[7.5, 27.125, -51.8125]
[2.5625, 10.8125, -31.1875]
[2.5625, 10.8125, -31.1875]
[2.5625, 10.8125, -31.1875]
[2.5625, 10.8125, -31.1875]
[2.5625, 10.8125, -31.1875]
[2.5625, 10.8125, -31.1875]
[-14.5, -28.9375, 8.875]
[-14.5, -28.9375, 8.875]
[-14.5, -28.9375, 8.875]
[-14.5, -28.9375, 8.875]
[-75.375, -117.5625, 13.0]
[-104.1875, -141.1875, -5.0]
[-104.1875, -141.1875, -5.0]
[-104.1875, -141.1875, -5.0]
[-104.1875, -141.1875, -5.0]
[-104.1875, -141.1875, -5.0]
[-125.3125, -208.25, -59.625]
[-125.3125, -208.25, -59.625]
[-125.3125, -208.25, -59.625]
[-146.25, -251.875, -83.625]
[-146.25, -251.875, -83.625]
[-146.25, -251.875, -83.625]
[-173.5625, -295.0, -161.8125]
[-177.5, -309.75, -189.375]
[-177.5, -309.75, -189.375]
[-177.5, -309.75, -189.375]
[-177.5, -309.75, -189.375]
[-97.5625, -313.75, -182.75]
[-97.5625, -313.75, -182.75]
[-62.9375, -303.125, -173.4375]
[-62.9375, -303.125, -173.4375]
[-32.8125, -282.0625, -150.0]
[-3.4375, -244.4375, -111.75]
[-3.4375, -244.4375, -111.75]
[-12.0625, -202.875, -81.25]
[-12.0625, -202.875, -81.25]
[-33.4375, -166.0, -59.125]
[-33.4375, -166.0, -59.125]
[-37.375, -128.3125, -45.375]
[-37.375, -128.3125, -45.375]
[-37.375, -128.3125, -45.375]
[-35.625, -95.1875, -34.625]
[-35.625, -95.1875, -34.625]
[-31.1875, -38.5625, -3.1875]
[-31.1875, -38.5625, -3.1875]
[-31.1875, -38.5625, -3.1875]
[-41.0625, -19.875, 2.5625]
[-41.0625, -19.875, 2.5625]
[-41.0625, -19.875, 2.5625]
[-41.0625, -19.875, 2.5625]
[-41.0625, -19.875, 2.5625]
[-41.0625, -19.875, 2.5625]
[-17.5, 5.4375, 13.875]
[-17.5, 5.4375, 13.875]
[-17.5, 5.4375, 13.875]
[-17.5, 5.4375, 13.875]
[-17.5, 5.4375, 13.875]
[-5.625, 15.5625, 7.5]
[-5.625, 15.5625, 7.5]
[-7.8125, 6.0, 1.75]
[-7.8125, 6.0, 1.75]
[-7.8125, 6.0, 1.75]
[5.1875, 1.9375, 3.9375]
[5.1875, 1.9375, 3.9375]
[5.1875, 1.9375, 3.9375]
[10.6875, -1.6875, 3.5625]
[10.6875, -1.6875, 3.5625]
[10.6875, -1.6875, 3.5625]
