[6.625, -45.25, -59.875]
[83.125, 15.75, -63.75]
[83.125, 15.75, -63.75]
[76.375, 46.0625, -67.8125]
[76.375, 46.0625, -67.8125]
[35.4375, 40.4375, -61.1875]
[32.25, 1.6875, -41.6875]
[32.25, 1.6875, -41.6875]
[86.875, -35.125, -26.8125]
[86.875, -35.125, -26.8125]
[162.0625, -38.875, -24.8125]
[162.0625, -38.875, -24.8125]
[139.5625, -28.0625, -32.4375]
[139.5625, -28.0625, -32.4375]
[44.375, -16.0, -22.625]
[44.375, -16.0, -22.625]
[44.375, -16.0, -22.625]
[-0.5, 10.1875, 3.875]
[-44.75, 30.25, 37.5625]
[-44.75, 30.25, 37.5625]
[-121.75, 54.6875, 58.125]
[-121.75, 54.6875, 58.125]
[-154.375, 66.875, 67.0625]
[-154.375, 66.875, 67.0625]
[-131.25, 27.8125, 46.4375]
[-131.25, 27.8125, 46.4375]
[-116.75, -54.5, 53.25]
[-116.75, -54.5, 53.25]
[-83.6875, -75.5, 99.125]
[-83.6875, -75.5, 99.125]
[-55.5, -14.4375, 127.625]
[-55.5, -14.4375, 127.625]
[-55.5, -14.4375, 127.625]
[11.6875, 34.9375, 96.8125]
[11.6875, 34.9375, 96.8125]
[50.25, -25.5625, 10.125]
[50.25, -25.5625, 10.125]
[50.25, -25.5625, 10.125]
[-9.5, -63.6875, 1.125]
[-9.5, -63.6875, 1.125]
[-9.5, -63.6875, 1.125]
[-25.9375, -56.375, -4.5625]
[1.375, -33.6875, 0.5625]
[1.375, -33.6875, 0.5625]
[1.375, -33.6875, 0.5625]
[1.375, -33.6875, 0.5625]
[1.375, -33.6875, 0.5625]
[-14.625, -43.5, -7.125]
[-24.75, -50.75, 2.4375]
[-24.75, -50.75, 2.4375]
[-24.75, -50.75, 2.4375]
[-24.75, -50.75, 2.4375]
[-1.875, -18.875, 3.4375]
[-1.875, -18.875, 3.4375]
[-3.25, -17.75, 1.1875]
[-19.25, -21.25, 5.375]
[-19.25, -21.25, 5.375]
[-12.8125, -12.1875, 3.3125]
[-12.8125, -12.1875, 3.3125]
[-12.8125, -12.1875, 3.3125]
[-4.25, -2.8125, -3.3125]
[-4.25, -2.8125, -3.3125]
[-4.25, -2.8125, -3.3125]
[-7.0, -1.25, -6.5625]
[-7.0, -1.25, -6.5625]
[-2.625, -0.125, -6.9375]
[-2.625, -0.125, -6.9375]
[-2.625, -0.125, -6.9375]
[0.5, 2.3125, -4.0625]
[0.5, 2.3125, -4.0625]
[1.125, 1.4375, -4.3125]
[1.125, 1.4375, -4.3125]
[-2.625, -1.1875, -3.1875]
[-2.625, -1.1875, -3.1875]
[-1.8125, -0.6875, -2.6875]
[-1.5625, 2.5, -2.25]
[-3.5625, 5.25, -5.4375]
[-3.5625, 5.25, -5.4375]
[-3.5625, 5.25, -5.4375]
[-3.875, 5.8125, -11.9375]
[-3.875, 5.8125, -11.9375]
[-5.625, 5.25, -18.0625]
[-5.625, 5.25, -18.0625]
[-8.3125, 3.8125, -25.4375]
[-8.3125, 3.8125, -25.4375]
[-8.3125, 4.75, -34.5625]
[-3.25, 5.4375, -52.75]
[-3.25, 5.4375, -52.75]
[-3.25, 5.4375, -52.75]
[-3.25, 5.4375, -52.75]
[-8.3125, 3.8125, -25.4375]
[-8.3125, 3.8125, -25.4375]
[-8.3125, 3.8125, -25.4375]
[-8.3125, 4.75, -34.5625]
[-8.3125, 4.75, -34.5625]
[-8.3125, 4.75, -34.5625]
[-22.0, -39.3125, -140.0]
[-22.0, -39.3125, -140.0]
[-24.0625, -50.0625, -152.0]
[-24.0625, -50.0625, -152.0]
[-43.4375, -62.0, -155.4375]
[-58.1875, -63.0625, -158.8125]
[-58.1875, -63.0625, -158.8125]
[-58.1875, -63.0625, -158.8125]
[-40.5, -57.0625, -157.75]
[-40.5, -57.0625, -157.75]
[-21.125, -55.75, -148.0625]
[-26.25, -59.625, -132.875]
[-26.25, -59.625, -132.875]
[-33.8125, -58.375, -119.75]
[-33.8125, -58.375, -119.75]
[-33.8125, -58.375, -119.75]
[-39.25, -55.1875, -106.9375]
