[61.375, 95.3125, 91.5]
[61.375, 95.3125, 91.5]
[54.75, 91.4375, 90.0625]
[54.75, 91.4375, 90.0625]
[54.75, 91.4375, 90.0625]
[51.5, 88.3125, 79.25]
[51.5, 88.3125, 79.25]
[51.5, 88.3125, 79.25]
[40.3125, 82.625, 68.0]
[40.3125, 82.625, 68.0]
[40.3125, 82.625, 68.0]
[40.3125, 82.625, 68.0]
[13.6875, 61.75, 54.875]
[11.625, 50.875, 50.6875]
[11.625, 50.875, 50.6875]
[11.625, 50.875, 50.6875]
[11.625, 50.875, 50.6875]
[3.9375, 31.0625, 41.0625]
[3.9375, 31.0625, 41.0625]
[10.9375, 20.8125, 39.4375]
[10.9375, 20.8125, 39.4375]
[10.9375, 20.8125, 39.4375]
[18.875, -0.1875, 38.0625]
[18.875, -0.1875, 38.0625]
[18.875, -0.1875, 38.0625]
[24.375, -10.625, 39.875]
[24.375, -10.625, 39.875]
[24.375, -10.625, 39.875]
[24.375, -10.625, 39.875]
[20.375, -23.5625, 44.125]
[20.375, -23.5625, 44.125]
[21.4375, -27.875, 51.125]
[21.4375, -27.875, 51.125]
[21.4375, -27.875, 51.125]
[21.4375, -27.875, 51.125]
[1.125, -28.75, 50.1875]
[1.125, -28.75, 50.1875]
[-37.5, -40.0, 26.375]
[-37.5, -40.0, 26.375]
[-37.5, -40.0, 26.375]
[-37.5, -40.0, 26.375]
[-17.875, -56.75, 79.4375]
[-17.875, -56.75, 79.4375]
[-17.875, -56.75, 79.4375]
[-17.875, -56.75, 79.4375]
[-17.875, -56.75, 79.4375]
[-17.875, -56.75, 79.4375]
[114.0625, -41.75, 162.6875]
[51.9375, -39.75, 95.25]
[51.9375, -39.75, 95.25]
[-41.3125, -42.625, 45.25]
[-41.3125, -42.625, 45.25]
[-41.3125, -42.625, 45.25]
[-41.3125, -42.625, 45.25]
[-41.3125, -42.625, 45.25]
[29.0, -4.4375, 16.0]
[29.0, -4.4375, 16.0]
[29.0, -4.4375, 16.0]
[-12.6875, -7.6875, -7.5]
[-12.6875, -7.6875, -7.5]
[-12.6875, -7.6875, -7.5]
[-10.75, -0.375, -6.75]
[-3.5625, 10.25, -4.75]
[-3.5625, 10.25, -4.75]
[-3.5625, 10.25, -4.75]
[-1.75, 15.125, -7.8125]
[-4.6875, 13.0625, -14.0]
[-4.6875, 13.0625, -14.0]
[-4.6875, 13.0625, -14.0]
[-10.6875, 7.75, -20.4375]
[-10.6875, 7.75, -20.4375]
[-21.5, 0.8125, -26.5]
[-25.0625, -5.0, -31.625]
[-25.0625, -5.0, -31.625]
[-25.0625, -5.0, -31.625]
[-22.625, -12.3125, -39.75]
[-30.3125, -26.3125, -53.375]
[-30.3125, -26.3125, -53.375]
[-44.0, -47.9375, -64.625]
[-44.0, -47.9375, -64.625]
[-54.0625, -67.5, -76.1875]
[-54.0625, -67.5, -76.1875]
[-63.6875, -81.75, -95.75]
[-63.6875, -81.75, -95.75]
[-76.0, -92.375, -118.0625]
[-76.0, -92.375, -118.0625]
[-84.5, -95.25, -133.9375]
[-84.5, -95.25, -133.9375]
[-94.6875, -93.9375, -140.5]
[-94.6875, -93.9375, -140.5]
[-94.6875, -93.9375, -140.5]
[-102.125, -83.9375, -149.25]
[-96.0625, -72.75, -157.25]
[-96.0625, -72.75, -157.25]
[-96.0625, -72.75, -157.25]
[-95.1875, -67.6875, -156.0]
[-95.1875, -67.6875, -156.0]
[-95.1875, -67.6875, -156.0]
[-97.1875, -56.625, -159.1875]
[-97.1875, -56.625, -159.1875]
[-97.1875, -56.625, -159.1875]
[-89.375, -44.625, -160.5]
[-89.375, -44.625, -160.5]
[-87.375, -42.9375, -147.3125]
[-87.375, -42.9375, -147.3125]
[-87.375, -42.9375, -147.3125]
[-71.4375, -23.5, -105.25]
[-56.0, -11.3125, -91.1875]
[-56.0, -11.3125, -91.1875]
[-54.0625, -11.125, -74.6875]
[-54.0625, -11.125, -74.6875]
[-54.0625, -11.125, -74.6875]
[-74.25, -13.1875, -56.1875]
[-71.1875, -7.75, -45.0]
[-71.1875, -7.75, -45.0]
[-43.4375, 2.6875, -30.4375]
[-43.4375, 2.6875, -30.4375]
[-33.1875, 5.75, -20.25]
[-33.1875, 5.75, -20.25]
[-33.1875, 5.75, -20.25]
[-34.0, 5.125, -13.9375]
[-34.0, 5.125, -13.9375]
[-30.625, 9.75, -10.75]
[-30.625, 9.75, -10.75]
[-30.125, 14.8125, -8.0]
[-30.125, 14.8125, -8.0]
[-28.375, 16.25, -5.75]
[-28.25, 16.6875, -3.1875]
[-28.25, 16.6875, -3.1875]
[-28.25, 16.6875, -3.1875]
[-28.25, 16.6875, -3.1875]
[-21.4375, 20.25, -0.25]
[-13.625, 21.375, -1.625]
[-13.625, 21.375, -1.625]
[-17.5625, 12.875, -0.5]
[-17.5625, 12.875, -0.5]
[-17.5625, 12.875, -0.5]
[-3.1875, -9.9375, -1.875]
[-3.1875, -9.9375, -1.875]
[7.9375, -18.3125, 1.75]
[7.9375, -18.3125, 1.75]
[7.9375, -18.3125, 1.75]
[17.3125, -16.25, 5.375]
[17.3125, -16.25, 5.375]
[16.6875, -7.25, 5.5625]
[16.6875, -7.25, 5.5625]
[9.625, -5.875, -2.625]
[3.6875, -7.375, -6.6875]
[3.6875, -7.375, -6.6875]
[3.6875, -7.375, -6.6875]
[6.375, -6.75, -5.625]
[6.375, -6.75, -5.625]
[10.9375, -5.8125, -1.25]
[10.9375, -5.8125, -1.25]
[10.9375, -5.8125, -1.25]
[12.625, -6.25, 0.5625]
[12.625, -6.25, 0.5625]
[20.0, -9.4375, 4.1875]
[20.0, -9.4375, 4.1875]
[25.375, -7.125, 5.6875]
[25.375, -7.125, 5.6875]
[27.5625, -2.375, 10.375]
[27.5625, -2.375, 10.375]
[25.3125, 2.25, 17.125]
[25.3125, 2.25, 17.125]
[27.5625, 9.0, 24.8125]
[27.5625, 9.0, 24.8125]
[38.75, 18.4375, 32.4375]
[38.75, 18.4375, 32.4375]
[44.9375, 26.3125, 41.25]
[44.9375, 26.3125, 41.25]
[46.4375, 35.3125, 51.5]
[46.4375, 35.3125, 51.5]
[52.9375, 46.3125, 61.875]
[52.9375, 46.3125, 61.875]
[60.75, 56.5625, 68.0625]
[60.75, 56.5625, 68.0625]
[67.9375, 66.0, 69.4375]
[67.9375, 66.0, 69.4375]
[67.9375, 66.0, 69.4375]
[70.6875, 71.3125, 70.6875]
[71.8125, 73.375, 74.3125]
[71.8125, 73.375, 74.3125]
[71.8125, 73.375, 74.3125]
[76.125, 76.8125, 77.375]
[76.125, 76.8125, 77.375]
[78.125, 80.5, 77.125]
[77.6875, 85.8125, 75.875]
[77.6875, 85.8125, 75.875]
[77.6875, 85.8125, 75.875]
[77.6875, 85.8125, 75.875]
[77.6875, 85.8125, 75.875]
[88.25, 97.8125, 66.125]
[88.25, 97.8125, 66.125]
[81.6875, 95.8125, 59.125]
[57.1875, 90.5, 52.9375]
[57.1875, 90.5, 52.9375]
[34.8125, 88.25, 48.5]
[23.125, 86.75, 44.25]
[23.125, 86.75, 44.25]
[23.125, 86.75, 44.25]
[13.8125, 82.625, 38.25]
[13.8125, 82.625, 38.25]
[3.25, 73.5625, 34.0625]
[-3.5625, 64.0, 32.6875]
[-3.5625, 64.0, 32.6875]
[-3.5625, 64.0, 32.6875]
[-0.125, 57.6875, 33.0]
[-0.125, 57.6875, 33.0]
[2.3125, 51.875, 33.8125]
[2.3125, 51.875, 33.8125]
[-4.5, 42.75, 33.3125]
[-4.5, 42.75, 33.3125]
[-4.5, 42.75, 33.3125]
[-8.8125, 35.75, 32.6875]
[-8.8125, 35.75, 32.6875]
[-8.8125, 35.75, 32.6875]
[0.5625, 28.5, 36.625]
[-8.375, 22.375, 34.5625]
[-8.375, 22.375, 34.5625]
[-8.375, 22.375, 34.5625]
[-1.9375, 19.0625, 33.8125]
[6.5625, 16.0, 38.3125]
[6.5625, 16.0, 38.3125]
[0.75, 3.0, 44.9375]
[0.75, 3.0, 44.9375]
[-2.5625, -12.375, 55.0625]
[-2.5625, -12.375, 55.0625]
[9.8125, -24.1875, 67.0625]
[9.8125, -24.1875, 67.0625]
[9.8125, -24.1875, 67.0625]
[14.5625, -21.5, 80.8125]
[7.5625, -18.375, 89.8125]
[7.5625, -18.375, 89.8125]
[8.75, -19.0, 79.125]
[8.75, -19.0, 79.125]
[16.125, -26.875, 87.3125]
