[1.4375, -6.375, -41.3125]
[-27.0625, -47.125, -120.25]
[-27.0625, -47.125, -120.25]
[-27.0625, -47.125, -120.25]
[-40.0, -66.8125, -168.5625]
[-40.0, -66.8125, -168.5625]
[-40.0, -66.8125, -168.5625]
[-40.0, -66.8125, -168.5625]
[-97.625, -119.6875, -373.375]
[-97.625, -119.6875, -373.375]
[-97.625, -119.6875, -373.375]
[-97.625, -119.6875, -373.375]
[-158.75, -119.125, -517.875]
[-158.75, -119.125, -517.875]
[-184.0, -110.125, -594.8125]
[-184.0, -110.125, -594.8125]
[-184.0, -110.125, -594.8125]
[-192.25, -115.8125, -694.625]
[-192.25, -115.8125, -694.625]
[-192.25, -115.8125, -694.625]
[-154.9375, -123.5, -690.375]
[-154.9375, -123.5, -690.375]
[-154.9375, -123.5, -690.375]
[-154.9375, -123.5, -690.375]
[102.875, -175.1875, -556.5625]
[102.875, -175.1875, -556.5625]
[142.1875, -166.4375, -417.375]
[142.1875, -166.4375, -417.375]
[142.1875, -166.4375, -417.375]
[108.5625, -115.6875, -166.4375]
[108.5625, -115.6875, -166.4375]
[108.5625, -115.6875, -166.4375]
[7.25, -94.8125, -91.375]
[7.25, -94.8125, -91.375]
[7.25, -94.8125, -91.375]
[7.25, -94.8125, -91.375]
[7.25, -94.8125, -91.375]
[-76.125, -34.1875, -32.0]
[-67.25, -7.625, -10.0]
[-67.25, -7.625, -10.0]
[-67.25, -7.625, -10.0]
[-74.0625, 29.9375, 55.625]
[-74.0625, 29.9375, 55.625]
[-83.25, 45.4375, 93.0]
[-83.25, 45.4375, 93.0]
[-83.25, 45.4375, 93.0]
[-83.25, 45.4375, 93.0]
[-83.25, 45.4375, 93.0]
[-109.6875, 69.4375, 152.5625]
[-109.6875, 69.4375, 152.5625]
[-109.6875, 69.4375, 152.5625]
[-109.6875, 69.4375, 152.5625]
[-109.6875, 69.4375, 152.5625]
[-109.6875, 69.4375, 152.5625]
[-49.9375, 61.375, 208.5625]
[-49.9375, 61.375, 208.5625]
[-2.5, 40.0, 219.4375]
[-2.5, 40.0, 219.4375]
[-2.5, 40.0, 219.4375]
[79.3125, -0.1875, 227.25]
[79.3125, -0.1875, 227.25]
[84.75, -13.6875, 226.6875]
[84.75, -13.6875, 226.6875]
[84.75, -13.6875, 226.6875]
[84.75, -13.6875, 226.6875]
[114.0, -42.5, 229.4375]
[114.0, -42.5, 229.4375]
[121.3125, -50.4375, 231.125]
[121.3125, -50.4375, 231.125]
[121.3125, -50.4375, 231.125]
[121.3125, -50.4375, 231.125]
[100.5, -77.4375, 207.375]
[100.5, -77.4375, 207.375]
[81.25, -91.375, 191.1875]
[81.25, -91.375, 191.1875]
[81.25, -91.375, 191.1875]
[81.25, -91.375, 191.1875]
[36.5625, -127.0625, 153.3125]
[36.5625, -127.0625, 153.3125]
[40.125, -126.25, 128.5625]
[40.125, -126.25, 128.5625]
[40.125, -126.25, 128.5625]
[40.125, -126.25, 128.5625]
[40.125, -126.25, 128.5625]
[39.625, -125.25, 85.5625]
[39.625, -125.25, 85.5625]
[28.0625, -122.375, 68.375]
[28.0625, -122.375, 68.375]
[28.0625, -122.375, 68.375]
[28.0625, -122.375, 68.375]
[28.0625, -122.375, 68.375]
[-17.5, -100.25, 24.5]
[-17.5, -100.25, 24.5]
[-17.5, -100.25, 24.5]
[-17.5, -100.25, 24.5]
[1.375, -60.625, 19.5625]
[1.375, -60.625, 19.5625]
[-19.0625, -49.875, 14.75]
[-19.0625, -49.875, 14.75]
[-19.0625, -49.875, 14.75]
[-33.9375, -28.5, 4.3125]
[-33.9375, -28.5, 4.3125]
[-33.9375, -28.5, 4.3125]
[-22.5625, -11.75, 2.375]
[-22.5625, -11.75, 2.375]
[-22.5625, -11.75, 2.375]
[-25.8125, 5.5625, -2.0]
[-25.8125, 5.5625, -2.0]
[-25.8125, 5.5625, -2.0]
[-27.625, 13.6875, -2.75]
[-27.625, 13.6875, -2.75]
[-27.625, 13.6875, -2.75]
[-27.625, 13.6875, -2.75]
[-15.75, 18.4375, -3.9375]
[-15.75, 18.4375, -3.9375]
[-8.9375, 8.6875, -1.75]
[-8.9375, 8.6875, -1.75]
[-8.9375, 8.6875, -1.75]
[-8.9375, 8.6875, -1.75]
[-8.9375, 8.6875, -1.75]
[-8.9375, 8.6875, -1.75]
