[15.9375, 13.375, 13.5625]
[36.0625, 10.25, 17.1875]
[18.5625, 2.125, 17.875]
[18.5625, 2.125, 17.875]
[1.5, -3.5, 14.4375]
[1.5, -3.5, 14.4375]
[8.5625, -4.875, 6.75]
[8.5625, -4.875, 6.75]
[19.8125, -5.0625, 2.1875]
[19.8125, -5.0625, 2.1875]
[17.875, -4.25, -1.875]
[17.875, -4.25, -1.875]
[12.3125, -4.1875, -1.625]
[12.3125, -4.1875, -1.625]
[7.5625, -3.875, -1.5]
[7.5625, -3.875, -1.5]
[5.4375, -2.875, -2.375]
[5.4375, -2.875, -2.375]
[4.0625, -1.8125, -2.1875]
[4.0625, -1.8125, -2.1875]
[6.0625, -0.8125, -0.75]
[6.0625, -0.8125, -0.75]
[7.3125, -2.4375, 1.0]
[7.3125, -2.4375, 1.0]
[8.0625, -3.375, 3.9375]
[8.0625, -3.375, 3.9375]
[13.5, -5.5625, 8.5]
[13.5, -5.5625, 8.5]
[23.875, -9.0, 14.5625]
[23.875, -9.0, 14.5625]
[35.0, -16.8125, 20.4375]
[35.0, -16.8125, 20.4375]
[40.8125, -26.375, 21.75]
[40.8125, -26.375, 21.75]
[40.3125, -36.4375, 23.0]
[40.3125, -36.4375, 23.0]
[37.875, -47.5625, 20.6875]
[37.875, -47.5625, 20.6875]
[40.625, -57.4375, 17.9375]
[40.625, -57.4375, 17.9375]
[45.125, -66.8125, 14.875]
[45.125, -66.8125, 14.875]
[45.125, -66.8125, 14.875]
[40.25, -76.0625, 9.75]
[36.8125, -83.125, 3.375]
[36.8125, -83.125, 3.375]
[30.6875, -92.875, -3.5]
[30.6875, -92.875, -3.5]
[16.3125, -104.125, -6.0625]
[16.3125, -104.125, -6.0625]
[6.125, -108.375, -10.3125]
[6.125, -108.375, -10.3125]
[3.1875, -104.75, -13.9375]
[3.1875, -104.75, -13.9375]
[-2.9375, -101.625, -20.625]
[-2.9375, -101.625, -20.625]
[-12.4375, -98.5, -26.6875]
[-12.4375, -98.5, -26.6875]
[-22.4375, -94.0, -30.0625]
[-22.4375, -94.0, -30.0625]
[-28.0625, -86.75, -33.5]
[-28.0625, -86.75, -33.5]
[-36.5, -79.0, -34.3125]
[-36.5, -79.0, -34.3125]
[-40.25, -71.875, -36.75]
[-40.25, -71.875, -36.75]
[-43.8125, -64.875, -38.5625]
[-43.8125, -64.875, -38.5625]
[-48.25, -58.75, -38.3125]
[-48.25, -58.75, -38.3125]
[-50.3125, -49.625, -35.9375]
[-50.3125, -49.625, -35.9375]
[-46.0, -39.1875, -28.875]
[-44.6875, -30.4375, -21.9375]
[-44.6875, -30.4375, -21.9375]
[-44.6875, -30.4375, -21.9375]
[-44.375, -21.1875, -18.75]
[-44.375, -21.1875, -18.75]
[-42.25, -13.25, -16.5]
[-42.25, -13.25, -16.5]
[-39.3125, -5.875, -11.9375]
[-39.3125, -5.875, -11.9375]
[-34.5, 0.625, -6.25]
[-34.5, 0.625, -6.25]
[-31.4375, 2.0625, -4.3125]
[-31.4375, 2.0625, -4.3125]
[-25.625, 1.25, -3.3125]
[-25.625, 1.25, -3.3125]
[-20.4375, 4.375, -1.5]
[-20.4375, 4.375, -1.5]
[-17.1875, 7.5, 1.375]
[-17.1875, 7.5, 1.375]
[-13.6875, 7.25, 3.6875]
[-13.6875, 7.25, 3.6875]
[-8.6875, 3.5625, 6.0625]
[-8.6875, 3.5625, 6.0625]
[-2.875, -3.5, 7.5]
[-0.125, -9.0625, 7.375]
[-0.125, -9.0625, 7.375]
[4.3125, -4.4375, 5.8125]
[4.3125, -4.4375, 5.8125]
[-1.0625, 5.5625, -1.25]
[-1.0625, 5.5625, -1.25]
[-12.25, 9.3125, -5.0625]
[-12.25, 9.3125, -5.0625]
[-10.125, 5.6875, -2.625]
[-10.125, 5.6875, -2.625]
[-1.3125, 1.625, -0.375]
[-1.3125, 1.625, -0.375]
[6.5, -0.4375, 1.8125]
[6.5, -0.4375, 1.8125]
[8.625, -1.8125, 1.8125]
[8.625, -1.8125, 1.8125]
[11.25, -4.25, 1.3125]
[11.25, -4.25, 1.3125]
[20.6875, -6.125, 2.9375]
[20.6875, -6.125, 2.9375]
[20.6875, -6.125, 2.9375]
[27.9375, -7.75, 2.375]
[32.5625, -4.5, 0.625]
[32.5625, -4.5, 0.625]
[32.5625, -4.5, 0.625]
[36.5625, 14.125, 7.0625]
[36.5625, 14.125, 7.0625]
[36.5625, 14.125, 7.0625]
[43.375, 30.8125, 13.0]
[43.375, 30.8125, 13.0]
[54.9375, 53.9375, 21.6875]
[63.5, 81.5, 28.375]
[63.5, 81.5, 28.375]
[63.5, 81.5, 28.375]
[59.5, 101.25, 37.8125]
[60.6875, 120.4375, 53.9375]
[60.6875, 120.4375, 53.9375]
[81.25, 138.3125, 73.25]
[81.25, 138.3125, 73.25]
[81.25, 138.3125, 73.25]
[98.75, 150.25, 90.5]
[95.9375, 154.3125, 112.0]
[95.9375, 154.3125, 112.0]
[83.875, 159.875, 132.4375]
[83.875, 159.875, 132.4375]
[69.0, 164.9375, 147.125]
[69.0, 164.9375, 147.125]
[63.9375, 161.625, 158.9375]
[63.9375, 161.625, 158.9375]
[78.4375, 162.6875, 163.75]
[78.4375, 162.6875, 163.75]
[80.375, 160.125, 162.875]
[80.375, 160.125, 162.875]
[80.5625, 152.6875, 160.8125]
[80.5625, 152.6875, 160.8125]
[69.875, 142.25, 148.375]
[69.875, 142.25, 148.375]
[48.625, 125.1875, 138.75]
[48.625, 125.1875, 138.75]
[41.0625, 108.5625, 123.375]
[41.0625, 108.5625, 123.375]
[26.5625, 93.6875, 101.875]
[26.5625, 93.6875, 101.875]
[17.875, 77.875, 81.375]
[17.875, 77.875, 81.375]
[6.9375, 62.0, 57.625]
[6.9375, 62.0, 57.625]
[1.0, 45.5, 35.8125]
[1.0, 45.5, 35.8125]
[-6.625, 25.3125, 7.75]
[-6.625, 25.3125, 7.75]
[-20.0, 8.9375, -24.3125]
[-20.0, 8.9375, -24.3125]
[-25.1875, -0.75, -56.8125]
[-25.1875, -0.75, -56.8125]
[-28.4375, -12.5625, -89.6875]
[-28.4375, -12.5625, -89.6875]
[-34.6875, -30.625, -122.75]
[-50.3125, -49.1875, -158.0]
[-50.3125, -49.1875, -158.0]
[-50.3125, -49.1875, -158.0]
[-67.4375, -59.6875, -192.75]
[-67.4375, -59.6875, -192.75]
[-88.5625, -66.5, -225.25]
[-88.5625, -66.5, -225.25]
[-126.3125, -76.5625, -239.125]
[-126.3125, -76.5625, -239.125]
[-173.625, -85.4375, -225.375]
[-173.625, -85.4375, -225.375]
[-154.5625, -70.9375, -195.8125]
[-94.625, -60.6875, -175.25]
[-94.625, -60.6875, -175.25]
[-71.5, -30.8125, -150.8125]
[-71.5, -30.8125, -150.8125]
[-71.5, -30.8125, -150.8125]
[20.75, -5.5625, -130.75]
[77.625, -1.6875, -80.25]
[77.625, -1.6875, -80.25]
[77.625, -1.6875, -80.25]
[1.375, -15.4375, -32.0625]
[1.375, -15.4375, -32.0625]
[-71.0, -22.75, -3.625]
[-49.0625, -10.3125, 7.875]
[-49.0625, -10.3125, 7.875]
[18.8125, 1.0625, 8.5625]
[18.8125, 1.0625, 8.5625]
[41.875, 0.875, 10.375]
[41.875, 0.875, 10.375]
[27.0, -4.625, 13.0625]
[27.0, -4.625, 13.0625]
[6.1875, -9.8125, 16.5]
[6.1875, -9.8125, 16.5]
[6.1875, -9.8125, 16.5]
[2.625, -10.6875, 14.0]
[2.625, -10.6875, 14.0]
[2.625, -10.6875, 14.0]
[19.125, -5.0625, 5.6875]
[19.125, -5.0625, 5.6875]
[19.125, -5.0625, 5.6875]
[15.375, -4.1875, 5.5]
[4.875, -4.5, 6.3125]
[4.875, -4.5, 6.3125]
[1.1875, -3.9375, 5.25]
[1.1875, -3.9375, 5.25]
[3.4375, -0.875, 3.875]
[5.5, 1.0, 4.0]
[5.5, 1.0, 4.0]
[5.5, 1.0, 4.0]
[3.625, 1.3125, 6.4375]
[3.625, 1.3125, 6.4375]
[-1.3125, 0.8125, 11.3125]
[-1.3125, 0.8125, 11.3125]
[1.125, 0.875, 15.75]
[1.125, 0.875, 15.75]
[10.375, 2.75, 22.625]
[10.375, 2.75, 22.625]
[21.9375, 3.75, 32.3125]
[21.9375, 3.75, 32.3125]
[31.0, 0.1875, 40.375]
[39.375, -6.9375, 40.0625]
[39.375, -6.9375, 40.0625]
[44.75, -15.75, 38.125]
[44.75, -15.75, 38.125]
[51.25, -29.1875, 34.9375]
[51.25, -29.1875, 34.9375]
[50.6875, -49.3125, 29.375]
[50.6875, -49.3125, 29.375]
[40.0, -68.5625, 25.6875]
[40.0, -68.5625, 25.6875]
[32.4375, -84.0, 18.8125]
[32.8125, -91.9375, 9.0625]
[32.8125, -91.9375, 9.0625]
[32.8125, -91.9375, 9.0625]
[35.875, -100.375, -1.8125]
[35.875, -100.375, -1.8125]
[20.5625, -113.8125, -7.9375]
[20.5625, -113.8125, -7.9375]
[6.3125, -125.75, -17.0]
[6.3125, -125.75, -17.0]
[-8.4375, -131.75, -24.9375]
[-8.4375, -131.75, -24.9375]
[-17.3125, -130.0625, -32.9375]
[-21.25, -125.0, -40.1875]
[-21.25, -125.0, -40.1875]
[-22.0625, -119.125, -45.5]
[-22.0625, -119.125, -45.5]
[-22.0625, -119.125, -45.5]
[-30.1875, -114.5, -51.75]
[-45.8125, -109.875, -57.4375]
[-45.8125, -109.875, -57.4375]
[-45.8125, -109.875, -57.4375]
[-51.875, -100.6875, -57.5625]
[-47.625, -86.0, -51.5625]
[-47.625, -86.0, -51.5625]
[-42.125, -70.625, -45.5625]
[-42.125, -70.625, -45.5625]
[-48.8125, -56.125, -37.6875]
[-48.8125, -56.125, -37.6875]
[-54.3125, -43.5625, -30.3125]
[-51.6875, -31.3125, -24.8125]
[-51.6875, -31.3125, -24.8125]
[-46.125, -17.9375, -19.375]
[-46.125, -17.9375, -19.375]
[-42.9375, -7.4375, -15.75]
[-42.9375, -7.4375, -15.75]
[-42.6875, -2.9375, -11.75]
[-42.6875, -2.9375, -11.75]
[-41.3125, -2.875, -11.0625]
[-41.3125, -2.875, -11.0625]
[-37.25, -4.0625, -8.8125]
[-37.25, -4.0625, -8.8125]
[-37.25, -4.0625, -8.8125]
[-25.5, -6.375, -5.8125]
[-16.75, -7.8125, -0.8125]
[-16.75, -7.8125, -0.8125]
[-16.75, -7.8125, -0.8125]
[-14.75, -0.0625, 4.0625]
[-15.3125, 17.1875, 1.3125]
[-15.3125, 17.1875, 1.3125]
[-13.375, 8.75, -3.5625]
[-13.375, 8.75, -3.5625]
[-13.375, 8.75, -3.5625]
[-3.75, 1.5, -3.375]
[-3.75, 1.5, -3.375]
[1.875, -3.25, -0.5625]
[7.75, -4.0, 1.6875]
[7.75, -4.0, 1.6875]
[7.75, -4.0, 1.6875]
[14.3125, -5.1875, 2.1875]
[14.3125, -5.1875, 2.1875]
[15.5, -8.5625, 0.8125]
[15.5, -8.5625, 0.8125]
[16.25, -9.0625, -0.9375]
[16.25, -9.0625, -0.9375]
[17.25, -7.625, -2.6875]
[17.25, -7.625, -2.6875]
[17.4375, -3.375, -1.3125]
[25.5625, 1.8125, 0.9375]
[25.5625, 1.8125, 0.9375]
[25.5625, 1.8125, 0.9375]
[38.75, 7.5, 3.8125]
[38.75, 7.5, 3.8125]
[38.75, 7.5, 3.8125]
[57.75, 46.0, 21.75]
[57.75, 46.0, 21.75]
[59.6875, 82.6875, 32.9375]
[59.6875, 82.6875, 32.9375]
[66.6875, 116.4375, 51.5]
[66.6875, 116.4375, 51.5]
[83.625, 138.3125, 74.6875]
[83.625, 138.3125, 74.6875]
[102.3125, 153.6875, 91.6875]
[102.3125, 153.6875, 91.6875]
[97.75, 162.1875, 100.3125]
[97.75, 162.1875, 100.3125]
[76.9375, 169.8125, 105.8125]
[76.9375, 169.8125, 105.8125]
[48.25, 177.3125, 126.3125]
[48.25, 177.3125, 126.3125]
[57.0, 180.125, 155.5625]
[57.0, 180.125, 155.5625]
[76.0625, 180.25, 171.125]
[76.0625, 180.25, 171.125]
[62.0625, 177.125, 172.875]
[62.0625, 177.125, 172.875]
[56.875, 171.25, 173.3125]
[56.875, 171.25, 173.3125]
[64.0, 164.5, 162.5]
[64.0, 164.5, 162.5]
[49.0, 147.8125, 154.3125]
[49.0, 147.8125, 154.3125]
[49.0, 147.8125, 154.3125]
[25.75, 132.0625, 143.375]
[10.125, 114.8125, 126.75]
[10.125, 114.8125, 126.75]
[10.5625, 101.1875, 106.4375]
[10.5625, 101.1875, 106.4375]
[2.5, 84.25, 86.25]
[-8.75, 64.1875, 61.6875]
[-8.75, 64.1875, 61.6875]
[-8.75, 64.1875, 61.6875]
[-11.0625, 45.5, 37.3125]
[-11.0625, 45.5, 37.3125]
[-9.6875, 28.3125, 5.3125]
[-21.6875, 12.125, -29.375]
[-21.6875, 12.125, -29.375]
[-21.6875, 12.125, -29.375]
[-21.6875, 12.125, -29.375]
[-31.5, -12.8125, -85.4375]
[-26.0625, -24.125, -110.5625]
[-26.0625, -24.125, -110.5625]
[-31.25, -39.5, -143.3125]
[-31.25, -39.5, -143.3125]
[-39.5625, -55.9375, -180.4375]
[-39.5625, -55.9375, -180.4375]
[-49.0, -72.0, -213.875]
[-49.0, -72.0, -213.875]
[-58.1875, -93.1875, -235.6875]
[-58.1875, -93.1875, -235.6875]
[-86.3125, -115.125, -248.75]
[-86.3125, -115.125, -248.75]
[-125.375, -114.75, -245.75]
[-125.375, -114.75, -245.75]
[-131.9375, -95.625, -224.375]
[-131.9375, -95.625, -224.375]
[-94.0, -62.125, -194.875]
[-94.0, -62.125, -194.875]
[-52.25, -45.625, -188.1875]
[-52.25, -45.625, -188.1875]
[-6.0, -23.0625, -155.75]
[-6.0, -23.0625, -155.75]
[23.5, 0.0, -105.625]
[23.5, 0.0, -105.625]
[37.875, 7.625, -59.625]
[37.875, 7.625, -59.625]
[-28.3125, 3.5, -13.0625]
[-28.3125, 3.5, -13.0625]
[-78.375, 3.0625, 10.375]
[-78.375, 3.0625, 10.375]
[-39.9375, 9.6875, 15.375]
[-39.9375, 9.6875, 15.375]
[23.8125, 12.25, 16.5625]
[23.8125, 12.25, 16.5625]
[42.0625, 5.0, 16.875]
[23.4375, -3.5, 19.75]
[23.4375, -3.5, 19.75]
[23.4375, -3.5, 19.75]
[3.25, -8.5, 17.0]
[3.25, -8.5, 17.0]
[3.4375, -8.6875, 13.5]
[3.4375, -8.6875, 13.5]
[18.8125, -6.875, 10.8125]
[23.4375, -4.9375, 12.0625]
[23.4375, -4.9375, 12.0625]
[12.1875, -4.125, 15.6875]
[2.8125, -4.6875, 21.0625]
[2.8125, -4.6875, 21.0625]
[2.8125, -4.6875, 21.0625]
[11.5625, -5.75, 26.9375]
[11.5625, -5.75, 26.9375]
[27.375, -9.9375, 33.875]
[27.375, -9.9375, 33.875]
[36.125, -16.8125, 40.8125]
[36.125, -16.8125, 40.8125]
[45.9375, -26.875, 46.3125]
[45.9375, -26.875, 46.3125]
[56.4375, -39.25, 48.3125]
[56.4375, -39.25, 48.3125]
[68.375, -52.875, 44.0625]
[68.375, -52.875, 44.0625]
[68.6875, -63.875, 39.125]
[68.6875, -63.875, 39.125]
[67.0625, -73.75, 33.8125]
[67.0625, -73.75, 33.8125]
[60.9375, -80.0, 29.3125]
[44.875, -86.3125, 22.625]
[44.875, -86.3125, 22.625]
[44.875, -86.3125, 22.625]
[27.0, -92.8125, 13.75]
[25.0, -97.125, 1.6875]
[25.0, -97.125, 1.6875]
[25.0, -97.125, 1.6875]
[23.75, -101.5625, -5.9375]
[23.75, -101.5625, -5.9375]
[11.875, -107.25, -12.5625]
[11.875, -107.25, -12.5625]
[0.375, -108.0, -18.375]
[0.375, -108.0, -18.375]
[-8.25, -104.4375, -26.8125]
[-8.25, -104.4375, -26.8125]
[-22.1875, -99.5, -29.625]
[-22.1875, -99.5, -29.625]
[-30.5, -91.875, -30.625]
[-31.5, -82.875, -33.8125]
[-31.5, -82.875, -33.8125]
[-31.5, -82.875, -33.8125]
[-38.5625, -77.1875, -35.1875]
[-38.5625, -77.1875, -35.1875]
[-47.25, -68.5625, -35.8125]
[-47.25, -68.5625, -35.8125]
[-52.375, -58.0625, -30.0]
[-42.5625, -44.4375, -23.8125]
[-42.5625, -44.4375, -23.8125]
[-35.3125, -31.875, -21.6875]
[-35.3125, -31.875, -21.6875]
[-40.8125, -23.0, -17.125]
[-40.8125, -23.0, -17.125]
[-40.0625, -14.625, -10.125]
[-40.0625, -14.625, -10.125]
[-35.6875, -7.0, -4.125]
[-35.6875, -7.0, -4.125]
[-33.625, -0.375, -1.625]
[-33.625, -0.375, -1.625]
[-33.8125, 4.625, -1.875]
[-33.8125, 4.625, -1.875]
[-32.5, 5.125, -3.5625]
[-32.5, 5.125, -3.5625]
[-31.625, 4.375, -2.3125]
[-31.625, 4.375, -2.3125]
[-30.5625, 5.625, -2.375]
[-30.5625, 5.625, -2.375]
