[56.25, 4.4375, 279.375]
[56.25, 4.4375, 279.375]
[67.25, 1.0, 299.75]
[67.25, 1.0, 299.75]
[71.1875, -4.375, 311.5]
[71.1875, -4.375, 311.5]
[76.0, -13.875, 316.25]
[76.0, -13.875, 316.25]
[77.6875, -25.5, 316.0625]
[77.6875, -25.5, 316.0625]
[66.8125, -40.5625, 312.25]
[66.8125, -40.5625, 312.25]
[66.8125, -40.5625, 312.25]
[71.9375, -62.75, 302.9375]
[71.9375, -62.75, 302.9375]
[89.8125, -84.5625, 282.125]
[96.75, -100.375, 260.6875]
[96.75, -100.375, 260.6875]
[85.0625, -115.3125, 243.0625]
[85.0625, -115.3125, 243.0625]
[60.0, -131.0, 209.0625]
[60.0, -131.0, 209.0625]
[27.625, -140.4375, 170.0]
[22.5625, -142.0, 132.625]
[22.5625, -142.0, 132.625]
[22.5625, -142.0, 132.625]
[23.5, -134.6875, 105.5]
[7.9375, -134.4375, 81.8125]
[7.9375, -134.4375, 81.8125]
[7.9375, -134.4375, 81.8125]
[-4.75, -128.0, 48.625]
[-4.75, -128.0, 48.625]
[5.875, -110.0, 26.4375]
[2.25, -93.625, 13.3125]
[2.25, -93.625, 13.3125]
[2.25, -93.625, 13.3125]
[-26.0, -81.9375, 0.3125]
[-26.0, -81.9375, 0.3125]
[-31.9375, -69.1875, -13.125]
[-16.0, -53.1875, -20.875]
[-16.0, -53.1875, -20.875]
[-16.0, -53.1875, -20.875]
[-22.0625, -42.125, -24.75]
[-22.0625, -42.125, -24.75]
[-31.0625, -30.6875, -24.3125]
[-30.75, -23.0, -23.5]
[-30.75, -23.0, -23.5]
[-30.75, -23.0, -23.5]
[-27.875, -17.0, -21.125]
[-27.875, -17.0, -21.125]
[-26.375, -13.75, -17.9375]
[-26.375, -13.75, -17.9375]
[-25.9375, -12.5625, -13.625]
[-25.6875, -10.8125, -9.8125]
[-25.6875, -10.8125, -9.8125]
[-25.6875, -10.8125, -9.8125]
[-22.75, -4.8125, -3.625]
[-15.625, 5.5625, 4.3125]
[-15.625, 5.5625, 4.3125]
[-16.4375, 10.75, 9.3125]
[-16.4375, 10.75, 9.3125]
[-16.4375, 10.75, 9.3125]
[-16.4375, 10.75, 9.3125]
[-16.4375, 10.75, 9.3125]
[-16.4375, 10.75, 9.3125]
[-14.75, 7.9375, 8.4375]
[-14.75, 7.9375, 8.4375]
[-3.1875, 4.75, 4.125]
[-3.1875, 4.75, 4.125]
[-3.1875, 4.75, 4.125]
[4.5, -2.3125, 2.25]
[4.5, -2.3125, 2.25]
[8.1875, -2.5, 0.5]
[8.1875, -2.5, 0.5]
[8.1875, -2.5, 0.5]
[6.0, -5.5, 1.8125]
[6.0, -5.5, 1.8125]
[8.1875, -8.1875, 2.8125]
[8.1875, -8.1875, 2.8125]
[8.1875, -8.1875, 2.8125]
[14.0, -9.0, 0.875]
[14.75, -9.25, -0.125]
[14.75, -9.25, -0.125]
[14.75, -9.25, -0.125]
[18.0625, -8.5625, -0.625]
[18.0625, -8.5625, -0.625]
