[111.125, 242.4375, 88.125]
[107.625, 236.8125, 101.5]
[107.625, 236.8125, 101.5]
[105.5625, 233.25, 112.5]
[105.5625, 233.25, 112.5]
[110.875, 226.5, 117.5]
[110.875, 226.5, 117.5]
[118.625, 208.3125, 124.9375]
[118.625, 208.3125, 124.9375]
[118.6875, 189.375, 133.875]
[118.6875, 189.375, 133.875]
[106.375, 178.0625, 138.125]
[106.375, 178.0625, 138.125]
[106.375, 178.0625, 138.125]
[106.375, 178.0625, 138.125]
[94.4375, 147.5, 146.9375]
[94.4375, 147.5, 146.9375]
[94.4375, 147.5, 146.9375]
[85.8125, 137.6875, 149.5625]
[85.8125, 137.6875, 149.5625]
[85.8125, 137.6875, 149.5625]
[85.8125, 137.6875, 149.5625]
[85.8125, 137.6875, 149.5625]
[52.5, 86.0625, 184.4375]
[52.5, 86.0625, 184.4375]
[52.5, 86.0625, 184.4375]
[52.5, 86.0625, 184.4375]
[37.375, 63.3125, 170.25]
[37.375, 63.3125, 170.25]
[-2.375, 47.0, 154.1875]
[-2.375, 47.0, 154.1875]
[-2.375, 47.0, 154.1875]
[-2.375, 47.0, 154.1875]
[5.1875, 34.125, 91.625]
[5.1875, 34.125, 91.625]
[32.875, 44.5, 32.375]
[32.875, 44.5, 32.375]
[32.875, 44.5, 32.375]
[32.875, 44.5, 32.375]
[32.875, 44.5, 32.375]
[-31.8125, 46.4375, -2.375]
[-31.8125, 46.4375, -2.375]
[-31.8125, 46.4375, -2.375]
[-31.8125, 46.4375, -2.375]
[-31.8125, 46.4375, -2.375]
[42.0625, -19.3125, -58.9375]
[42.0625, -19.3125, -58.9375]
[42.0625, -19.3125, -58.9375]
[-25.3125, -43.75, -89.0625]
[-25.3125, -43.75, -89.0625]
[-25.3125, -43.75, -89.0625]
[-25.3125, -43.75, -89.0625]
[-29.625, 0.125, -20.9375]
[-1.75, 33.125, -8.4375]
[-1.75, 33.125, -8.4375]
[-1.75, 33.125, -8.4375]
[-1.75, 33.125, -8.4375]
[-55.3125, 12.875, 33.5]
[-55.3125, 12.875, 33.5]
[-24.25, 20.125, 36.1875]
[-24.25, 20.125, 36.1875]
[-24.25, 20.125, 36.1875]
[-24.25, 20.125, 36.1875]
[-10.0625, 62.875, -22.3125]
[-10.0625, 62.875, -22.3125]
[-16.3125, 38.375, -14.0]
[-16.3125, 38.375, -14.0]
[-16.3125, 38.375, -14.0]
[-16.3125, 38.375, -14.0]
[-16.3125, 38.375, -14.0]
[36.75, -63.875, -29.8125]
[36.75, -63.875, -29.8125]
[36.75, -63.875, -29.8125]
[36.75, -63.875, -29.8125]
[36.75, -63.875, -29.8125]
[-39.375, -144.4375, -102.25]
[-39.375, -144.4375, -102.25]
[-61.6875, -125.9375, -95.0625]
[-61.6875, -125.9375, -95.0625]
[-61.6875, -125.9375, -95.0625]
[-61.6875, -125.9375, -95.0625]
[-107.75, -112.75, -67.5]
[-107.75, -112.75, -67.5]
[-132.875, -141.5, -77.0625]
[-132.875, -141.5, -77.0625]
[-132.875, -141.5, -77.0625]
[-132.875, -141.5, -77.0625]
[-157.9375, -204.3125, -105.0625]
[-157.9375, -204.3125, -105.0625]
[-157.9375, -204.3125, -105.0625]
[-158.3125, -226.5625, -114.9375]
[-158.3125, -226.5625, -114.9375]
[-158.3125, -226.5625, -114.9375]
[-196.5, -269.5, -122.5625]
[-196.5, -269.5, -122.5625]
[-214.6875, -266.5625, -119.625]
[-214.6875, -266.5625, -119.625]
[-214.6875, -266.5625, -119.625]
[-214.6875, -266.5625, -119.625]
[-183.375, -249.6875, -122.9375]
[-183.375, -249.6875, -122.9375]
[-172.9375, -240.0625, -114.25]
[-172.9375, -240.0625, -114.25]
[-172.9375, -240.0625, -114.25]
[-156.875, -216.125, -94.625]
[-156.875, -216.125, -94.625]
[-156.875, -216.125, -94.625]
[-126.25, -197.4375, -87.125]
[-126.25, -197.4375, -87.125]
[-126.25, -197.4375, -87.125]
[-122.8125, -157.5, -55.6875]
[-122.8125, -157.5, -55.6875]
[-122.8125, -157.5, -55.6875]
[-117.375, -134.8125, -45.8125]
[-117.375, -134.8125, -45.8125]
[-117.375, -134.8125, -45.8125]
[-117.375, -134.8125, -45.8125]
[-71.0, -90.3125, -31.6875]
[-71.0, -90.3125, -31.6875]
[-73.0, -76.875, -16.0]
[-73.0, -76.875, -16.0]
[-73.0, -76.875, -16.0]
[-65.75, -47.1875, -10.4375]
[-65.75, -47.1875, -10.4375]
[-48.875, -31.8125, -7.375]
[-48.875, -31.8125, -7.375]
[-48.875, -31.8125, -7.375]
[-48.875, -31.8125, -7.375]
[-48.875, -31.8125, -7.375]
[-48.875, -31.8125, -7.375]
[-49.0625, -21.1875, -0.1875]
[-49.0625, -21.1875, -0.1875]
[-45.375, -17.0625, 1.375]
[-45.375, -17.0625, 1.375]
[-11.75, 15.0, 8.75]
[-11.75, 15.0, 8.75]
[-7.8125, 10.5, 4.4375]
[-7.8125, 10.5, 4.4375]
[-7.8125, 10.5, 4.4375]
[-7.8125, 10.5, 4.4375]
[-7.8125, 10.5, 4.4375]
[-1.3125, -1.9375, 5.1875]
[-1.3125, -1.9375, 5.1875]
[-1.3125, -1.9375, 5.1875]
[-1.3125, -1.9375, 5.1875]
[-1.3125, -1.9375, 5.1875]
[2.625, -1.125, 3.8125]
[2.625, -1.125, 3.8125]
[2.5, -1.1875, 1.9375]
[2.5, -1.1875, 1.9375]
[2.5, -1.1875, 1.9375]
[2.5, -1.1875, 1.9375]
[0.6875, -3.625, -0.125]
[0.6875, -3.625, -0.125]
[2.8125, -4.75, 0.4375]
[2.8125, -4.75, 0.4375]
[2.8125, -4.75, 0.4375]
[2.8125, -4.75, 0.4375]
[2.8125, -4.75, 0.4375]
[5.6875, -3.4375, 2.3125]
[5.6875, -3.4375, 2.3125]
[6.6875, -4.625, 2.3125]
[6.6875, -4.625, 2.3125]
[6.6875, -4.625, 2.3125]
[6.6875, -4.625, 2.3125]
[6.6875, -4.625, 2.3125]
[9.6875, -1.75, 0.5625]
[9.6875, -1.75, 0.5625]
[9.6875, -1.75, 0.5625]
[9.6875, -1.75, 0.5625]
[9.6875, -1.75, 0.5625]
[13.375, -5.1875, -2.1875]
[13.375, -5.1875, -2.1875]
