[-27.3125, -62.25, 13.4375]
[101.4375, -152.9375, 196.4375]
[90.9375, -167.0625, 221.25]
[90.9375, -167.0625, 221.25]
[101.4375, -166.1875, 230.8125]
[110.0625, -159.125, 239.3125]
[110.0625, -159.125, 239.3125]
[75.75, -141.25, 226.5]
[75.75, -141.25, 226.5]
[75.75, -141.25, 226.5]
[74.125, -117.75, 192.5625]
[80.75, -84.375, 144.125]
[80.75, -84.375, 144.125]
[80.75, -84.375, 144.125]
[80.75, -84.375, 144.125]
[29.25, -9.1875, 37.4375]
[29.25, -9.1875, 37.4375]
[0.6875, 26.0625, -28.875]
[0.6875, 26.0625, -28.875]
[-9.6875, 60.6875, -93.375]
[-9.6875, 60.6875, -93.375]
[-15.4375, 84.75, -144.625]
[-15.4375, 84.75, -144.625]
[-15.4375, 84.75, -144.625]
[-23.8125, 98.125, -185.4375]
[-46.3125, 102.8125, -213.9375]
[-46.3125, 102.8125, -213.9375]
[-68.0625, 101.3125, -226.9375]
[-68.0625, 101.3125, -226.9375]
[-94.5, 95.6875, -227.1875]
[-94.5, 95.6875, -227.1875]
[-119.6875, 88.4375, -217.0]
[-119.6875, 88.4375, -217.0]
[-120.25, 82.375, -198.3125]
[-120.25, 82.375, -198.3125]
[-109.9375, 78.0625, -178.0]
[-109.9375, 78.0625, -178.0]
[-101.0625, 69.125, -154.625]
[-101.0625, 69.125, -154.625]
[-86.5625, 39.125, -127.625]
[-49.0625, -4.625, -85.625]
[-49.0625, -4.625, -85.625]
[-49.0625, -4.625, -85.625]
[13.8125, -43.625, -36.5625]
[13.8125, -43.625, -36.5625]
[46.375, -83.125, 8.1875]
[46.375, -83.125, 8.1875]
[42.25, -119.375, 38.0]
[32.5625, -156.5625, 65.5]
[32.5625, -156.5625, 65.5]
[32.5625, -156.5625, 65.5]
[24.0625, -207.5625, 93.375]
[24.0625, -207.5625, 93.375]
[-6.875, -260.375, 101.4375]
[-6.875, -260.375, 101.4375]
[-46.5625, -292.375, 85.6875]
[-65.125, -309.875, 69.6875]
[-65.125, -309.875, 69.6875]
[-65.125, -309.875, 69.6875]
[-100.5625, -329.4375, 59.4375]
[-149.6875, -353.9375, 42.9375]
[-149.6875, -353.9375, 42.9375]
[-171.1875, -366.0, 18.625]
[-171.1875, -366.0, 18.625]
[-171.1875, -366.0, 18.625]
[-155.8125, -353.4375, -8.0625]
[-145.375, -334.0625, -28.5]
[-145.375, -334.0625, -28.5]
[-145.375, -334.0625, -28.5]
[-145.375, -334.0625, -28.5]
[-106.0, -309.875, -22.1875]
[-72.0625, -293.375, -20.875]
[-82.125, -282.0625, -25.375]
[-82.125, -282.0625, -25.375]
[-111.9375, -251.3125, -29.0625]
[-111.9375, -251.3125, -29.0625]
[-111.9375, -251.3125, -29.0625]
[-61.375, -202.1875, -25.0625]
[-61.375, -202.1875, -25.0625]
[-10.1875, -165.3125, -22.8125]
[-32.25, -147.1875, -23.125]
[-32.25, -147.1875, -23.125]
[-52.25, -124.5625, -19.375]
[-52.25, -124.5625, -19.375]
[-52.25, -124.5625, -19.375]
[-40.625, -93.0, -14.375]
[-40.625, -93.0, -14.375]
[-31.125, -67.75, -11.75]
[-31.125, -67.75, -11.75]
[-32.4375, -59.5, -10.6875]
[-31.4375, -48.8125, -3.875]
[-31.4375, -48.8125, -3.875]
[-29.1875, -17.375, 7.75]
[-29.1875, -17.375, 7.75]
[-15.9375, 16.1875, 4.875]
[-15.9375, 16.1875, 4.875]
[-15.9375, 16.1875, 4.875]
[-22.1875, 19.4375, -3.625]
[-19.0625, 6.8125, -0.8125]
[-19.0625, 6.8125, -0.8125]
[-3.5625, -0.875, 3.125]
[-3.5625, -0.875, 3.125]
[6.0, -3.125, 2.75]
[6.0, -3.125, 2.75]
[4.5, -2.1875, 0.75]
[4.5, -2.1875, 0.75]
[1.6875, -4.4375, 0.5625]
[2.5625, -4.4375, 0.5625]
[2.5625, -4.4375, 0.5625]
[2.5625, -4.4375, 0.5625]
[5.5, -1.375, 0.1875]
[5.5, -1.375, 0.1875]
[2.1875, -1.3125, 0.0]
[2.1875, -1.3125, 0.0]
[-0.9375, -1.6875, -0.0625]
[3.375, -0.1875, 0.8125]
[3.375, -0.1875, 0.8125]
[3.375, -0.1875, 0.8125]
[4.6875, 1.8125, 1.25]
[4.6875, 1.8125, 1.25]
[4.9375, 0.8125, 1.6875]
[4.9375, 0.8125, 1.6875]
[6.4375, 0.6875, 0.25]
[6.4375, 0.6875, 0.25]
[12.4375, 4.8125, -3.5]
[12.4375, 4.8125, -3.5]
[19.125, 12.0, -4.125]
[19.125, 12.0, -4.125]
[22.8125, 18.5, -2.1875]
[24.375, 35.3125, -0.3125]
[24.375, 35.3125, -0.3125]
[34.875, 73.75, 2.9375]
[34.875, 73.75, 2.9375]
[34.875, 73.75, 2.9375]
[42.5625, 127.125, 3.6875]
[42.5625, 127.125, 3.6875]
[29.5625, 179.3125, 10.3125]
[26.9375, 227.5, 28.1875]
[26.9375, 227.5, 28.1875]
[26.9375, 227.5, 28.1875]
[41.6875, 265.0625, 38.5625]
[54.5, 295.375, 48.0]
[54.5, 295.375, 48.0]
[54.5, 295.375, 48.0]
[88.0625, 315.6875, 56.375]
[122.5625, 329.4375, 56.125]
[122.5625, 329.4375, 56.125]
[148.3125, 327.125, 52.5]
[148.3125, 327.125, 52.5]
[148.3125, 327.125, 52.5]
[154.8125, 307.75, 46.875]
[125.6875, 287.0625, 36.5]
[125.6875, 287.0625, 36.5]
[125.0625, 273.0625, 35.5625]
[125.0625, 273.0625, 35.5625]
[151.9375, 257.875, 32.25]
[157.375, 226.5, 32.5]
[157.375, 226.5, 32.5]
[157.375, 226.5, 32.5]
[128.4375, 195.0625, 31.625]
[128.4375, 195.0625, 31.625]
[92.8125, 174.25, 23.8125]
[80.9375, 163.75, 15.4375]
[80.9375, 163.75, 15.4375]
[80.9375, 163.75, 15.4375]
[93.0625, 154.375, 7.125]
[93.0625, 154.375, 7.125]
[85.75, 141.375, -7.0]
[59.4375, 137.25, -26.3125]
[59.4375, 137.25, -26.3125]
[59.4375, 137.25, -26.3125]
[46.625, 139.75, -44.9375]
[58.6875, 138.4375, -65.4375]
[58.6875, 138.4375, -65.4375]
[9.25, 127.3125, -84.875]
[9.25, 127.3125, -84.875]
[-58.4375, 111.5, -91.75]
[-58.4375, 111.5, -91.75]
[-120.6875, 90.875, -71.0]
[-120.6875, 90.875, -71.0]
[-135.4375, 76.25, -31.25]
[-135.4375, 76.25, -31.25]
[-146.6875, 77.3125, 13.5625]
[-146.6875, 77.3125, 13.5625]
[-162.25, 56.0625, 36.5625]
[-162.25, 56.0625, 36.5625]
[-125.875, 9.875, 46.3125]
[-125.875, 9.875, 46.3125]
[-25.75, -66.3125, 62.875]
[-25.75, -66.3125, 62.875]
[75.5625, -120.5, 106.4375]
[106.75, -144.5625, 159.625]
[106.75, -144.5625, 159.625]
[106.75, -144.5625, 159.625]
[54.0625, -167.6875, 187.875]
[54.0625, -167.6875, 187.875]
[48.875, -180.375, 197.875]
[63.8125, -183.125, 194.0]
[63.8125, -183.125, 194.0]
[63.8125, -183.125, 194.0]
[77.8125, -163.4375, 173.0]
[77.8125, -163.4375, 173.0]
[84.375, -131.6875, 135.1875]
[81.75, -88.0625, 90.25]
[81.75, -88.0625, 90.25]
[81.75, -88.0625, 90.25]
[73.8125, -35.9375, 34.0625]
[73.8125, -35.9375, 34.0625]
[51.3125, 8.25, -27.5625]
[21.5, 45.5, -89.875]
[21.5, 45.5, -89.875]
[-12.0625, 72.875, -143.0625]
[-12.0625, 72.875, -143.0625]
[-12.0625, 72.875, -143.0625]
[-33.625, 92.3125, -181.5]
[-52.9375, 102.0, -204.0]
[-52.9375, 102.0, -204.0]
[-71.375, 99.875, -212.25]
[-71.375, 99.875, -212.25]
[-71.375, 99.875, -212.25]
[-91.4375, 93.125, -210.625]
[-91.4375, 93.125, -210.625]
[-93.25, 92.125, -203.1875]
[-93.25, 92.125, -203.1875]
[-71.0625, 94.4375, -194.0]
[-71.0625, 94.4375, -194.0]
[-79.8125, 78.6875, -177.1875]
[-79.8125, 78.6875, -177.1875]
[-110.625, 51.0625, -148.0625]
[5.25, 9.25, -12.0]
[5.25, 9.25, -12.0]
[5.25, 9.25, -12.0]
[33.6875, -29.9375, 47.1875]
[33.6875, -29.9375, 47.1875]
[41.6875, -64.625, 85.0625]
[41.6875, -64.625, 85.0625]
[74.75, -86.6875, 118.5625]
[74.75, -86.6875, 118.5625]
[108.5625, -97.9375, 150.875]
[108.5625, -97.9375, 150.875]
[84.3125, -114.1875, 178.5625]
[84.3125, -114.1875, 178.5625]
[33.0, -145.4375, 192.6875]
[33.0, -145.4375, 192.6875]
[9.3125, -193.5, 196.8125]
[-17.625, -250.0625, 193.9375]
[-17.625, -250.0625, 193.9375]
[-79.0, -303.5625, 182.0625]
[-79.0, -303.5625, 182.0625]
[-79.0, -303.5625, 182.0625]
[-144.5625, -346.125, 158.5]
[-197.125, -369.625, 117.5625]
[-197.125, -369.625, 117.5625]
[-197.125, -369.625, 117.5625]
[-233.9375, -372.0, 59.4375]
[-258.0, -355.0, -4.125]
[-258.0, -355.0, -4.125]
[-258.0, -355.0, -4.125]
[-283.0625, -346.875, -72.125]
[-262.8125, -317.0625, -114.0625]
[-262.8125, -317.0625, -114.0625]
[-171.75, -288.875, -123.625]
[-171.75, -288.875, -123.625]
[-147.8125, -270.625, -105.75]
[-147.8125, -270.625, -105.75]
[-150.25, -241.125, -97.8125]
[-150.25, -241.125, -97.8125]
[-122.0, -195.875, -84.3125]
[-122.0, -195.875, -84.3125]
[-106.4375, -152.875, -59.75]
[-106.4375, -152.875, -59.75]
[-95.0, -120.75, -34.4375]
[-95.0, -120.75, -34.4375]
[-81.625, -93.75, -24.625]
[-81.625, -93.75, -24.625]
[-68.3125, -75.0, -16.875]
[-68.3125, -75.0, -16.875]
[-59.8125, -61.4375, -4.625]
[-59.8125, -61.4375, -4.625]
[-41.75, -46.9375, 2.0625]
[-41.75, -46.9375, 2.0625]
[-42.0, -36.375, 4.875]
[-43.5, -26.75, 9.5]
[-43.5, -26.75, 9.5]
[-30.5, 3.25, 14.0625]
[-30.5, 3.25, 14.0625]
[-30.5, 3.25, 14.0625]
[-12.1875, 24.6875, 4.875]
[-18.625, 21.4375, -2.6875]
[-18.625, 21.4375, -2.6875]
[-21.0, 7.3125, -6.5625]
[-21.0, 7.3125, -6.5625]
[-21.0, 7.3125, -6.5625]
[-21.0, 7.3125, -6.5625]
[-0.5, -3.125, -2.8125]
[-0.5, -3.125, -2.8125]
[9.75, 1.25, 4.5625]
[9.75, 1.25, 4.5625]
[9.75, 1.25, 4.5625]
[4.625, -0.1875, 4.3125]
[-0.75, -0.8125, 1.125]
[-0.75, -0.8125, 1.125]
[5.1875, -1.0, -0.4375]
[3.125, -2.8125, 2.1875]
[3.125, -2.8125, 2.1875]
[2.625, -1.75, 2.6875]
[2.625, -1.75, 2.6875]
[2.625, -1.75, 2.6875]
[4.125, -0.875, 1.4375]
[4.6875, -1.625, 0.75]
[4.6875, -1.625, 0.75]
[1.75, -2.9375, 2.1875]
[1.75, -2.9375, 2.1875]
[1.75, -2.9375, 2.1875]
[6.5625, -2.75, 3.5]
[10.4375, -3.8125, 3.0]
[10.4375, -3.8125, 3.0]
[10.4375, -3.8125, 3.0]
[12.5, -2.75, 0.875]
[11.875, -0.0625, -1.25]
[11.875, -0.0625, -1.25]
[11.875, -0.0625, -1.25]
[22.0, 7.75, -2.9375]
[31.3125, 27.9375, 0.625]
[31.3125, 27.9375, 0.625]
[31.875, 66.0, 2.6875]
[31.875, 66.0, 2.6875]
[31.875, 66.0, 2.6875]
[31.8125, 114.3125, 5.5]
[31.8125, 114.3125, 5.5]
[24.25, 161.0625, 5.875]
[40.4375, 196.6875, 16.875]
[40.4375, 196.6875, 16.875]
[66.8125, 233.8125, 38.875]
[66.8125, 233.8125, 38.875]
[73.75, 267.0, 53.0625]
[73.75, 267.0, 53.0625]
[88.4375, 294.3125, 59.5]
[88.4375, 294.3125, 59.5]
[123.9375, 308.75, 63.375]
[135.9375, 315.0, 60.375]
[135.9375, 315.0, 60.375]
[135.9375, 315.0, 60.375]
[116.5625, 316.75, 55.9375]
[116.5625, 316.75, 55.9375]
[121.1875, 310.75, 45.5]
[144.6875, 296.9375, 37.6875]
[144.6875, 296.9375, 37.6875]
[144.6875, 296.9375, 37.6875]
[147.1875, 277.5625, 25.8125]
[147.1875, 277.5625, 25.8125]
[133.375, 258.125, 22.375]
[133.375, 258.125, 22.375]
[133.375, 258.125, 22.375]
[126.6875, 192.1875, 25.8125]
[126.6875, 192.1875, 25.8125]
[126.6875, 192.1875, 25.8125]
[101.8125, 161.0625, 21.375]
[96.4375, 138.1875, 16.5]
[96.4375, 138.1875, 16.5]
[88.5625, 118.0, 9.0625]
[88.5625, 118.0, 9.0625]
[88.5625, 118.0, 9.0625]
[78.3125, 98.75, -3.5]
[68.0, 85.1875, -18.4375]
[68.0, 85.1875, -18.4375]
[52.5625, 75.6875, -35.625]
[52.5625, 75.6875, -35.625]
[52.5625, 75.6875, -35.625]
[43.125, 73.6875, -47.4375]
[27.6875, 74.4375, -59.625]
[27.6875, 74.4375, -59.625]
[27.8125, 72.375, -74.1875]
[27.8125, 72.375, -74.1875]
[15.1875, 70.3125, -87.75]
[15.1875, 70.3125, -87.75]
[-12.0625, 66.5625, -103.6875]
[-12.0625, 66.5625, -103.6875]
[-53.5, 56.9375, -111.9375]
[-53.5, 56.9375, -111.9375]
[-98.75, 44.5, -100.5]
[-98.75, 44.5, -100.5]
[-152.5625, 42.4375, -80.6875]
[-152.5625, 42.4375, -80.6875]
[-152.5625, 42.4375, -80.6875]
[-192.25, 52.0, -53.4375]
[-196.4375, 53.375, -15.5625]
[-196.4375, 53.375, -15.5625]
[-144.4375, 44.125, 22.3125]
[-144.4375, 44.125, 22.3125]
[-99.9375, 11.0, 47.125]
[-99.9375, 11.0, 47.125]
[-1.125, -38.75, 67.9375]
[-1.125, -38.75, 67.9375]
[83.8125, -80.8125, 108.625]
[83.8125, -80.8125, 108.625]
[115.25, -114.3125, 149.8125]
[115.25, -114.3125, 149.8125]
[104.1875, -134.625, 178.6875]
[104.1875, -134.625, 178.6875]
[76.75, -148.1875, 189.375]
[76.75, -148.1875, 189.375]
[72.125, -153.375, 189.5625]
[72.125, -153.375, 189.5625]
[93.25, -143.1875, 179.5]
[93.25, -143.1875, 179.5]
[99.25, -121.125, 151.8125]
[99.25, -121.125, 151.8125]
[110.4375, -85.0, 116.5625]
[110.4375, -85.0, 116.5625]
[109.375, -49.375, 78.625]
[109.375, -49.375, 78.625]
[76.875, -21.375, 33.875]
[76.875, -21.375, 33.875]
[24.6875, 3.9375, -19.25]
[24.6875, 3.9375, -19.25]
[-4.375, 40.5, -78.6875]
[-4.375, 40.5, -78.6875]
[-18.875, 75.625, -131.0]
[-18.875, 75.625, -131.0]
[-30.5625, 94.5, -172.5625]
[-30.5625, 94.5, -172.5625]
[-50.1875, 95.8125, -195.6875]
[-50.1875, 95.8125, -195.6875]
[-72.8125, 88.375, -206.3125]
[-72.8125, 88.375, -206.3125]
[-93.9375, 82.125, -204.75]
[-93.9375, 82.125, -204.75]
[-104.5625, 84.25, -196.9375]
[-104.5625, 84.25, -196.9375]
[-89.125, 84.0, -185.625]
[-89.125, 84.0, -185.625]
[-86.6875, 72.4375, -167.75]
[-86.6875, 72.4375, -167.75]
[-74.875, 51.0625, -129.5]
[-74.875, 51.0625, -129.5]
[-46.9375, 11.5625, -76.0]
[-3.5625, -37.9375, -23.375]
[-3.5625, -37.9375, -23.375]
[-3.5625, -37.9375, -23.375]
[24.1875, -87.6875, 15.1875]
[31.875, -133.5, 35.25]
[31.875, -133.5, 35.25]
[31.875, -133.5, 35.25]
[29.375, -174.6875, 51.875]
[38.6875, -214.25, 78.625]
[38.6875, -214.25, 78.625]
[9.9375, -253.6875, 91.9375]
[9.9375, -253.6875, 91.9375]
[-47.0625, -295.375, 84.625]
[-47.0625, -295.375, 84.625]
[-88.5, -331.6875, 69.0]
[-88.5, -331.6875, 69.0]
[-88.5, -331.6875, 69.0]
[-140.5, -361.875, 43.75]
[-173.6875, -381.1875, 14.125]
[-173.6875, -381.1875, 14.125]
[-184.4375, -376.25, -23.875]
[-184.4375, -376.25, -23.875]
[-172.6875, -352.4375, -66.5625]
[-172.6875, -352.4375, -66.5625]
[-143.125, -328.125, -80.4375]
[-143.125, -328.125, -80.4375]
[-109.25, -321.6875, -75.5]
[-109.25, -321.6875, -75.5]
[-95.5625, -323.0625, -69.6875]
[-95.5625, -323.0625, -69.6875]
[-102.5, -291.3125, -71.5625]
[-102.5, -291.3125, -71.5625]
[-73.75, -211.125, -53.5625]
[-73.75, -211.125, -53.5625]
[-25.25, -156.9375, -34.8125]
[-25.25, -156.9375, -34.8125]
[-12.125, -132.4375, -26.875]
[-12.125, -132.4375, -26.875]
[-41.625, -117.5625, -26.5]
[-41.625, -117.5625, -26.5]
[-45.9375, -91.4375, -17.125]
[-45.9375, -91.4375, -17.125]
[-20.5625, -64.1875, -4.3125]
[-20.5625, -64.1875, -4.3125]
[-13.6875, -51.9375, 1.25]
[-22.8125, -49.0, 0.6875]
[-22.8125, -49.0, 0.6875]
[-22.8125, -49.0, 0.6875]
[-24.75, -31.25, 3.875]
[-11.0, 2.4375, 5.125]
[-11.0, 2.4375, 5.125]
[-9.375, 18.6875, -3.4375]
[-9.375, 18.6875, -3.4375]
[-15.8125, 8.5625, -3.5]
[-15.8125, 8.5625, -3.5]
[-2.25, 0.4375, 1.25]
[-2.25, 0.4375, 1.25]
[3.375, -3.875, 1.9375]
[3.375, -3.875, 1.9375]
[3.375, -3.875, 1.9375]
[3.6875, -1.875, 2.625]
[3.8125, -0.0625, 2.4375]
[3.8125, -0.0625, 2.4375]
[2.4375, 0.0, 1.75]
[2.4375, 0.0, 1.75]
[2.4375, 0.0, 1.75]
[0.25, -0.875, 0.4375]
[-0.5, -2.25, -1.125]
[-0.5, -2.25, -1.125]
[-0.25, -2.8125, -0.1875]
[-0.25, -2.8125, -0.1875]
[0.375, -0.5, -0.1875]
[0.375, -0.5, -0.1875]
[0.8125, -0.125, 1.125]
[0.8125, -0.125, 1.125]
[2.8125, -1.75, 1.4375]
[2.8125, -1.75, 1.4375]
[2.8125, -1.75, 1.4375]
[6.6875, -3.75, 1.5]
[10.8125, -3.5, 1.0]
[10.8125, -3.5, 1.0]
[11.875, -4.75, -0.0625]
[11.875, -4.75, -0.0625]
[15.875, -6.75, -2.125]
[15.875, -6.75, -2.125]
[24.1875, -9.4375, -2.75]
[24.1875, -9.4375, -2.75]
[24.1875, -9.4375, -2.75]
[38.1875, -5.875, -1.9375]
[55.0625, 22.0625, -0.375]
[55.0625, 22.0625, -0.375]
[63.5625, 68.875, 3.5]
[63.5625, 68.875, 3.5]
[63.5625, 68.875, 3.5]
[66.375, 121.125, 4.9375]
[66.3125, 166.875, 15.0625]
[66.3125, 166.875, 15.0625]
[71.3125, 206.5625, 25.5]
[71.3125, 206.5625, 25.5]
[83.1875, 238.1875, 35.3125]
[83.1875, 238.1875, 35.3125]
[106.8125, 264.0, 50.0625]
[106.8125, 264.0, 50.0625]
[106.8125, 264.0, 50.0625]
[140.625, 284.3125, 63.0]
[161.25, 288.0, 62.875]
[161.25, 288.0, 62.875]
[163.0625, 282.3125, 63.3125]
[163.0625, 282.3125, 63.3125]
[176.8125, 270.6875, 70.8125]
[176.8125, 270.6875, 70.8125]
[177.1875, 259.3125, 67.875]
[177.1875, 259.3125, 67.875]
[176.8125, 246.1875, 59.4375]
[176.8125, 246.1875, 59.4375]
[175.0625, 226.75, 51.6875]
[175.0625, 226.75, 51.6875]
[186.4375, 201.0, 45.5625]
[186.4375, 201.0, 45.5625]
[158.1875, 179.75, 38.25]
[158.1875, 179.75, 38.25]
[134.5625, 165.625, 30.4375]
[134.5625, 165.625, 30.4375]
[130.25, 144.5625, 18.5625]
[130.25, 144.5625, 18.5625]
[127.5625, 121.5625, 10.125]
[127.5625, 121.5625, 10.125]
[112.375, 103.9375, -2.25]
[112.375, 103.9375, -2.25]
[74.375, 88.8125, -21.1875]
[74.375, 88.8125, -21.1875]
[53.125, 85.25, -25.625]
[53.125, 85.25, -25.625]
[64.375, 81.5625, -29.5625]
[64.375, 81.5625, -29.5625]
[53.5, 82.6875, -44.6875]
[53.5, 82.6875, -44.6875]
[45.0625, 94.0, -70.5]
[45.0625, 94.0, -70.5]
[45.0625, 94.0, -70.5]
[44.3125, 122.875, -132.625]
[44.3125, 122.875, -132.625]
[44.3125, 122.875, -132.625]
[33.9375, 116.9375, -165.125]
[33.9375, 116.9375, -165.125]
[1.4375, 97.875, -190.1875]
[1.4375, 97.875, -190.1875]
[-54.375, 69.8125, -202.8125]
[-54.375, 69.8125, -202.8125]
[-120.875, 42.75, -199.0]
[-120.875, 42.75, -199.0]
[-156.75, 29.1875, -150.875]
[-156.75, 29.1875, -150.875]
[-150.0, 36.625, -90.4375]
[-150.0, 36.625, -90.4375]
[-137.3125, 40.75, -39.25]
[-137.3125, 40.75, -39.25]
[-114.125, 15.4375, 22.0625]
[-60.0625, -38.75, 62.0]
[-60.0625, -38.75, 62.0]
[29.375, -84.25, 104.375]
[29.375, -84.25, 104.375]
[29.375, -84.25, 104.375]
[71.4375, -110.0625, 146.25]
[71.4375, -110.0625, 146.25]
[91.1875, -129.625, 185.125]
[92.4375, -149.25, 216.1875]
[92.4375, -149.25, 216.1875]
[70.8125, -162.625, 230.4375]
[70.8125, -162.625, 230.4375]
[55.5, -161.3125, 225.6875]
[55.5, -161.3125, 225.6875]
[58.9375, -144.875, 205.9375]
[58.9375, -144.875, 205.9375]
[68.375, -118.8125, 165.0]
[68.375, -118.8125, 165.0]
[100.75, -91.375, 125.5625]
[100.75, -91.375, 125.5625]
[101.6875, -50.0625, 81.875]
[101.6875, -50.0625, 81.875]
[101.6875, -50.0625, 81.875]
[54.9375, -12.75, 20.0625]
[11.4375, 26.0625, -46.0]
[11.4375, 26.0625, -46.0]
[-20.25, 71.9375, -119.5625]
[-20.25, 71.9375, -119.5625]
[-40.1875, 112.4375, -185.3125]
[-40.1875, 112.4375, -185.3125]
[-55.75, 127.0, -229.4375]
[-104.5625, 121.5, -254.0]
[-104.5625, 121.5, -254.0]
[-104.5625, 121.5, -254.0]
[-168.9375, 110.5, -257.5]
[-168.9375, 110.5, -257.5]
[-205.3125, 109.375, -242.5]
[-147.875, 113.875, -218.5]
[-147.875, 113.875, -218.5]
[-113.25, 93.3125, -206.4375]
[-113.25, 93.3125, -206.4375]
[-103.875, 48.125, -192.5]
[-103.875, 48.125, -192.5]
[-49.5625, -5.5625, -158.5]
[-49.5625, -5.5625, -158.5]
[10.9375, -73.875, -121.125]
[10.9375, -73.875, -121.125]
[32.4375, -140.3125, -86.75]
[32.4375, -140.3125, -86.75]
[37.875, -191.4375, -71.375]
[37.875, -191.4375, -71.375]
[32.9375, -234.0625, -69.25]
[32.9375, -234.0625, -69.25]
[27.875, -276.875, -65.25]
[27.875, -276.875, -65.25]
[17.6875, -318.1875, -51.875]
[17.6875, -318.1875, -51.875]
[-12.5, -340.375, -37.25]
[-12.5, -340.375, -37.25]
[-47.0625, -351.5, -31.4375]
[-47.0625, -351.5, -31.4375]
[-55.3125, -377.3125, -31.0]
[-55.3125, -377.3125, -31.0]
[-44.4375, -327.8125, -20.5]
[-44.4375, -327.8125, -20.5]
[-30.8125, -205.375, -48.0625]
[-185.3125, -224.375, -72.3125]
[-185.3125, -224.375, -72.3125]
[-185.3125, -224.375, -72.3125]
[51.5, -320.875, -9.125]
[51.5, -320.875, -9.125]
[51.5, -320.875, -9.125]
[-124.5625, -178.625, -1.0]
[-124.5625, -178.625, -1.0]
[-124.5625, -178.625, -1.0]
[-95.9375, -152.0, -8.1875]
[-95.9375, -152.0, -8.1875]
[12.9375, -133.0, 21.875]
[-39.0, -130.4375, 9.0625]
[-39.0, -130.4375, 9.0625]
[-39.0, -130.4375, 9.0625]
[-71.0, -131.9375, -1.875]
[-71.0, -131.9375, -1.875]
[-30.875, -133.125, -16.0625]
[-3.375, -149.5625, -20.8125]
[-3.375, -149.5625, -20.8125]
[6.9375, -155.125, -30.5]
[6.9375, -155.125, -30.5]
[6.9375, -155.125, -30.5]
