[-29.4375, -24.0, -0.5625]
[-20.0625, -34.1875, 0.3125]
[-20.0625, -34.1875, 0.3125]
[-15.8125, -36.75, 4.75]
[-15.8125, -36.75, 4.75]
[-17.3125, -2.6875, 12.125]
[-17.3125, -2.6875, 12.125]
[-12.0625, 21.25, -4.8125]
[-12.0625, 21.25, -4.8125]
[-18.8125, 12.4375, -11.9375]
[-18.8125, 12.4375, -11.9375]
[-16.5, -1.25, -1.0]
[-2.125, -0.5625, -1.0625]
[-2.125, -0.5625, -1.0625]
[-2.125, -0.5625, -1.0625]
[2.0, -0.3125, -2.0625]
[2.0, -0.3125, -2.0625]
[-1.75, -1.5, 0.125]
[-1.75, -1.5, 0.125]
[-0.4375, -1.6875, 0.8125]
[-0.4375, -1.6875, 0.8125]
[2.5625, -0.375, 2.9375]
[2.5625, -0.375, 2.9375]
[1.125, -0.5, 3.9375]
[1.125, -0.5, 3.9375]
[2.0, -2.0625, 3.25]
[2.0, -2.0625, 3.25]
[0.75, -2.75, 1.5625]
[0.75, -2.75, 1.5625]
[4.875, -0.3125, 1.6875]
[5.875, -1.875, 1.375]
[5.875, -1.875, 1.375]
[5.875, -1.875, 1.375]
[5.0625, -6.0, 2.25]
[5.0625, -6.0, 2.25]
[7.5625, -5.125, 2.1875]
[7.625, 0.0, -0.375]
[7.625, 0.0, -0.375]
[7.9375, 9.8125, -1.8125]
[7.9375, 9.8125, -1.8125]
[6.4375, 22.125, -0.5]
[6.4375, 22.125, -0.5]
[1.5, 42.6875, 8.0]
[1.5, 42.6875, 8.0]
[20.9375, 79.9375, 16.4375]
[20.9375, 79.9375, 16.4375]
[53.625, 127.625, 9.9375]
[57.4375, 168.25, 10.9375]
[57.4375, 168.25, 10.9375]
[47.625, 194.5625, 30.0]
[47.625, 194.5625, 30.0]
[47.625, 194.5625, 30.0]
[38.0, 213.375, 44.375]
[38.0, 213.375, 44.375]
[32.75, 236.625, 57.1875]
[60.4375, 264.1875, 69.4375]
[60.4375, 264.1875, 69.4375]
[77.9375, 274.9375, 68.4375]
[77.9375, 274.9375, 68.4375]
[81.6875, 270.6875, 70.5625]
[81.6875, 270.6875, 70.5625]
[83.3125, 256.375, 75.5]
[83.3125, 256.375, 75.5]
[83.3125, 256.375, 75.5]
[60.75, 237.5625, 74.0625]
[39.3125, 229.25, 69.4375]
[35.625, 223.3125, 64.25]
[35.625, 223.3125, 64.25]
[35.625, 223.3125, 64.25]
[42.6875, 219.125, 55.6875]
[44.0625, 212.25, 43.6875]
[44.0625, 212.25, 43.6875]
[44.0625, 212.25, 43.6875]
[33.9375, 195.375, 29.5625]
[33.9375, 195.375, 29.5625]
[14.5, 172.5625, 9.75]
[0.3125, 148.625, -13.0625]
[0.3125, 148.625, -13.0625]
[-17.0, 128.75, -31.8125]
[-17.0, 128.75, -31.8125]
[-17.0, 128.75, -31.8125]
[-30.1875, 110.3125, -44.375]
[-35.6875, 91.1875, -57.4375]
[-35.6875, 91.1875, -57.4375]
[-35.125, 68.25, -72.75]
[-35.125, 68.25, -72.75]
[-35.125, 68.25, -72.75]
[-34.9375, 39.6875, -89.1875]
[-34.9375, 39.6875, -89.1875]
[-44.5, 20.0625, -104.5]
[-54.3125, -1.3125, -118.0]
[-54.3125, -1.3125, -118.0]
[-60.6875, -17.125, -130.5625]
[-60.6875, -17.125, -130.5625]
[-46.3125, -11.75, -139.3125]
[-45.6875, -8.875, -147.4375]
[-45.6875, -8.875, -147.4375]
[-45.6875, -8.875, -147.4375]
[-3.6875, -7.5625, -148.5625]
[-3.6875, -7.5625, -148.5625]
[24.6875, -0.5, -112.5625]
[24.6875, -0.5, -112.5625]
[7.875, 6.5625, -86.3125]
[-45.375, -13.8125, -62.625]
[-45.375, -13.8125, -62.625]
[-45.375, -13.8125, -62.625]
[-45.3125, -8.1875, -31.3125]
