[-3.0, -17.5625, 74.5]
[-3.0, -17.5625, 74.5]
[29.5625, -15.0, 74.9375]
[29.5625, -15.0, 74.9375]
[57.375, -18.875, 66.75]
[57.375, -18.875, 66.75]
[31.6875, -29.5, 47.5625]
[31.6875, -29.5, 47.5625]
[-18.75, -26.125, 15.8125]
[-18.75, -26.125, 15.8125]
[-34.0, -10.5, -3.5625]
[-34.0, -10.5, -3.5625]
[-19.3125, 1.625, -16.375]
[-19.3125, 1.625, -16.375]
[-9.5, 8.25, -37.5625]
[-9.5, 8.25, -37.5625]
[-20.8125, 4.75, -59.5]
[-20.8125, 4.75, -59.5]
[-39.125, -8.3125, -76.3125]
[-39.125, -8.3125, -76.3125]
[-62.0625, -24.75, -81.75]
[-70.4375, -38.4375, -68.5]
[-70.4375, -38.4375, -68.5]
[-70.4375, -38.4375, -68.5]
[-55.0, -53.875, -41.75]
[-55.0, -53.875, -41.75]
[-43.75, -81.6875, -10.125]
[-59.9375, -120.25, 17.0625]
[-59.9375, -120.25, 17.0625]
[-94.8125, -157.5, 29.375]
[-94.8125, -157.5, 29.375]
[-124.5625, -196.375, 23.25]
[-124.5625, -196.375, 23.25]
[-157.1875, -237.25, 7.4375]
[-157.1875, -237.25, 7.4375]
[-184.1875, -276.5625, -17.6875]
[-184.1875, -276.5625, -17.6875]
[-225.5625, -318.4375, -48.125]
[-225.5625, -318.4375, -48.125]
[-273.6875, -354.75, -75.6875]
[-273.6875, -354.75, -75.6875]
[-292.1875, -372.875, -103.75]
[-292.1875, -372.875, -103.75]
[-304.3125, -379.9375, -134.4375]
[-304.3125, -379.9375, -134.4375]
[-304.3125, -379.9375, -134.4375]
[-322.3125, -373.8125, -161.625]
[-270.5625, -347.375, -165.0625]
[-270.5625, -347.375, -165.0625]
[-219.3125, -318.4375, -166.0]
[-219.3125, -318.4375, -166.0]
[-198.6875, -298.8125, -161.125]
[-198.6875, -298.8125, -161.125]
[-156.25, -273.375, -154.4375]
[-156.25, -273.375, -154.4375]
[-109.3125, -227.625, -124.125]
[-109.3125, -227.625, -124.125]
[-83.9375, -173.0625, -102.0]
[-83.9375, -173.0625, -102.0]
[-75.625, -130.0, -83.125]
[-75.625, -130.0, -83.125]
[-74.6875, -104.625, -57.75]
[-74.6875, -104.625, -57.75]
[-70.0, -76.9375, -31.25]
[-70.0, -76.9375, -31.25]
[-58.4375, -44.5625, -21.875]
[-58.4375, -44.5625, -21.875]
[-49.9375, -23.75, -11.625]
[-49.9375, -23.75, -11.625]
[-54.5625, -15.8125, -0.4375]
[-54.5625, -15.8125, -0.4375]
[-41.5625, -8.5, 7.3125]
