[-23.5, -24.3125, 7.0]
[-23.1875, -12.9375, 6.3125]
[-22.625, 2.875, 2.375]
[-22.625, 2.875, 2.375]
[-20.5, 11.0, -2.6875]
[-20.5, 11.0, -2.6875]
[-17.6875, 9.5625, -4.8125]
[-17.6875, 9.5625, -4.8125]
[-11.1875, 5.3125, -5.75]
[-3.875, 2.875, -6.1875]
[-3.875, 2.875, -6.1875]
[1.625, -0.9375, -5.75]
[1.625, -0.9375, -5.75]
[5.375, -6.375, -5.0625]
[5.375, -6.375, -5.0625]
[1.3125, -9.875, -2.3125]
[1.3125, -9.875, -2.3125]
[-0.625, -5.5, -0.6875]
[-0.625, -5.5, -0.6875]
[0.25, 0.4375, -0.9375]
[0.25, 0.4375, -0.9375]
[-4.125, 3.9375, -0.625]
[-4.125, 3.9375, -0.625]
[-5.5, 3.3125, 0.0]
[-5.5, 3.3125, 0.0]
[-6.3125, 1.625, 0.875]
[-6.3125, 1.625, 0.875]
[-6.3125, 1.625, 0.875]
[-4.25, 2.1875, 1.5]
[-1.125, 2.875, 2.75]
[-1.125, 2.875, 2.75]
[-0.3125, 2.375, 3.625]
[-0.3125, 2.375, 3.625]
[0.0, 0.875, 3.4375]
[0.0, 0.875, 3.4375]
[0.8125, -0.6875, 2.375]
[0.8125, -0.6875, 2.375]
[0.8125, -0.6875, 2.375]
[2.9375, 0.3125, 1.0625]
[2.9375, 0.3125, 1.0625]
[2.25, -0.8125, 1.0]
[2.25, -0.8125, 1.0]
[1.75, -2.4375, 1.25]
[1.75, -2.4375, 1.25]
[4.3125, -2.1875, 1.0625]
[4.3125, -2.1875, 1.0625]
[4.3125, -2.1875, 1.0625]
[3.375, -2.5625, 1.9375]
[3.375, -2.5625, 1.9375]
[2.875, -3.5625, 2.4375]
[1.5625, -2.3125, 1.8125]
[1.5625, -2.3125, 1.8125]
[-0.4375, 1.625, 2.0]
[-0.4375, 1.625, 2.0]
[-0.4375, 1.625, 2.0]
[-6.5, 7.375, 3.1875]
[-10.625, 11.25, 5.125]
[-10.625, 11.25, 5.125]
[-11.75, 14.0625, 5.625]
[-11.75, 14.0625, 5.625]
[-10.9375, 16.3125, 5.5]
[-4.5, 21.6875, 4.9375]
[-4.5, 21.6875, 4.9375]
[-4.5, 21.6875, 4.9375]
[-2.3125, 31.3125, 5.75]
[-2.3125, 31.3125, 5.75]
[-2.3125, 31.3125, 5.75]
[-0.25, 44.75, 8.125]
[9.5, 64.75, 8.6875]
[9.5, 64.75, 8.6875]
[18.8125, 92.125, 7.5]
[22.125, 120.375, -0.4375]
[13.5, 150.875, -7.375]
[13.5, 150.875, -7.375]
[13.5, 150.875, -7.375]
[4.125, 178.75, -13.6875]
[4.125, 178.75, -13.6875]
[4.125, 178.75, -13.6875]
[-12.5, 196.5625, -13.875]
[-16.125, 212.8125, -11.0]
[-16.125, 212.8125, -11.0]
[-22.5, 228.4375, -11.0]
[-22.5, 228.4375, -11.0]
[-20.3125, 238.5, -8.125]
[-13.25, 242.625, -7.3125]
[-13.25, 242.625, -7.3125]
[-8.5625, 243.3125, -5.375]
[-8.5625, 243.3125, -5.375]
[-8.5625, 243.3125, -5.375]
[-8.5625, 243.3125, -5.375]
[-11.875, 225.0, 2.5625]
[-11.875, 225.0, 2.5625]
[-11.875, 225.0, 2.5625]
[-6.1875, 214.25, 5.25]
[-9.25, 202.375, 5.0625]
[-9.25, 202.375, 5.0625]
[-9.25, 202.375, 5.0625]
[-12.25, 187.4375, 8.9375]
[-2.0625, 171.25, 8.3125]
[-2.0625, 171.25, 8.3125]
[-2.0625, 171.25, 8.3125]
[-1.25, 152.25, 6.1875]
[-5.1875, 133.25, 8.0]
[-5.1875, 133.25, 8.0]
[-5.25, 111.5625, 8.0]
[-5.25, 111.5625, 8.0]
[-5.25, 111.5625, 8.0]
[-4.0, 88.3125, 4.1875]
[-4.0, 88.3125, 4.1875]
[-4.4375, 69.875, 0.625]
[1.375, 51.875, -2.0]
[1.375, 51.875, -2.0]
[4.9375, 35.125, -5.875]
[4.9375, 35.125, -5.875]
[2.625, 20.6875, -8.375]
[2.625, 20.6875, -8.375]
[-3.25, 10.0625, -9.75]
[-3.25, 10.0625, -9.75]
[-3.25, 10.0625, -9.75]
[-4.1875, 3.125, -11.0625]
[-7.25, -2.5625, -18.9375]
[-7.25, -2.5625, -18.9375]
[18.5, 3.75, -27.4375]
[18.5, 3.75, -27.4375]
[28.25, -7.75, -47.1875]
[28.25, -7.75, -47.1875]
[28.25, -7.75, -47.1875]
[14.9375, -12.375, -16.5625]
[14.9375, -12.375, -16.5625]
[14.9375, -12.375, -16.5625]
