[-117.8125, -11.8125, 73.25]
[-47.75, -17.125, 92.8125]
[-47.75, -17.125, 92.8125]
[55.375, -8.75, 101.5]
[55.375, -8.75, 101.5]
[61.9375, -16.4375, 93.75]
[61.9375, -16.4375, 93.75]
[11.875, -37.9375, 76.375]
[-40.6875, -58.9375, 66.875]
[-40.6875, -58.9375, 66.875]
[-40.6875, -58.9375, 66.875]
[-49.375, -69.1875, 75.4375]
[-29.875, -65.875, 76.5]
[-29.875, -65.875, 76.5]
[-29.875, -65.875, 76.5]
[9.75, -50.875, 57.8125]
[0.9375, -51.6875, 38.1875]
[0.9375, -51.6875, 38.1875]
[-26.6875, -58.125, 31.5625]
[-26.6875, -58.125, 31.5625]
[-26.6875, -58.125, 31.5625]
[-26.0625, -50.25, 29.4375]
[-0.375, -30.875, 14.125]
[-0.375, -30.875, 14.125]
[-2.4375, -18.3125, 3.625]
[-2.4375, -18.3125, 3.625]
[-14.75, -11.1875, 6.75]
[-14.75, -11.1875, 6.75]
[-7.9375, -3.0, 4.0625]
[-7.9375, -3.0, 4.0625]
[3.4375, 4.8125, 2.0625]
[3.4375, 4.8125, 2.0625]
[-1.375, 7.75, 2.875]
[-2.625, 7.6875, 5.0]
[-2.625, 7.6875, 5.0]
[-2.625, 7.6875, 5.0]
[-4.9375, 5.3125, 3.8125]
[-4.9375, 5.3125, 3.8125]
[0.0625, 5.6875, -0.375]
[0.0625, 5.6875, -0.375]
[1.5625, 5.8125, -1.875]
[-4.875, 2.6875, 1.3125]
[-4.875, 2.6875, 1.3125]
[-7.5625, -0.875, 2.6875]
[-7.5625, -0.875, 2.6875]
[-7.5625, -0.875, 2.6875]
[-6.0625, -2.5, 0.375]
[-6.0625, -2.5, 0.375]
[-2.1875, -0.4375, 0.0]
[-0.4375, 3.3125, -0.875]
[-0.4375, 3.3125, -0.875]
[-0.4375, 3.3125, -0.875]
[-2.4375, 4.3125, -1.5625]
[-3.3125, 5.8125, -3.3125]
[-3.3125, 5.8125, -3.3125]
[-1.125, 7.9375, -11.6875]
[-1.125, 7.9375, -11.6875]
[-1.125, 7.9375, -11.6875]
[1.1875, 7.0, -18.6875]
[-1.625, -1.0625, -29.0625]
[-1.625, -1.0625, -29.0625]
[2.1875, -7.375, -37.875]
[2.1875, -7.375, -37.875]
[6.875, -9.75, -56.5625]
[6.875, -9.75, -56.5625]
[5.1875, -11.125, -83.3125]
[5.1875, -11.125, -83.3125]
[5.1875, -11.125, -83.3125]
[2.875, -21.5, -109.25]
[-2.6875, -33.625, -120.75]
[-2.6875, -33.625, -120.75]
[-3.0, -41.125, -123.3125]
[6.0, -43.3125, -135.25]
[6.0, -43.3125, -135.25]
[6.0, -43.3125, -135.25]
[-2.9375, -54.4375, -153.875]
[-2.9375, -54.4375, -153.875]
[-34.75, -68.3125, -150.5]
[-34.75, -68.3125, -150.5]
[-39.1875, -73.375, -130.6875]
[-39.1875, -73.375, -130.6875]
[-35.0625, -67.4375, -126.125]
[-35.0625, -67.4375, -126.125]
[-24.4375, -62.875, -127.9375]
[-24.4375, -62.875, -127.9375]
[-23.3125, -61.125, -117.75]
[-23.3125, -61.125, -117.75]
[-36.0, -55.875, -108.75]
[-32.75, -49.4375, -98.4375]
[-32.75, -49.4375, -98.4375]
[-32.75, -49.4375, -98.4375]
[-24.0, -41.0, -83.25]
[-24.0, -41.0, -83.25]
[-25.75, -35.4375, -72.4375]
[-32.875, -27.75, -63.875]
[-32.875, -27.75, -63.875]
[-25.9375, -18.6875, -49.9375]
[-25.9375, -18.6875, -49.9375]
[-25.9375, -18.6875, -49.9375]
[-20.75, -12.375, -39.3125]
[-21.3125, -9.25, -36.625]
[-21.3125, -9.25, -36.625]
[-27.75, -5.8125, -32.5625]
[-27.75, -5.8125, -32.5625]
[-27.75, -5.8125, -32.5625]
[-34.5625, -0.375, -19.25]
[-38.125, 5.3125, -4.6875]
[-38.125, 5.3125, -4.6875]
[-35.625, 8.1875, 1.125]
[-35.625, 8.1875, 1.125]
[-30.5, 5.75, -0.6875]
[-30.5, 5.75, -0.6875]
[-24.625, 1.4375, 1.25]
[-24.625, 1.4375, 1.25]
[-11.4375, -2.1875, 10.125]
[-11.4375, -2.1875, 10.125]
[-4.1875, 2.4375, 7.5]
[-4.1875, 2.4375, 7.5]
[-9.9375, 1.9375, -2.5]
[-9.9375, 1.9375, -2.5]
[-16.4375, -1.0625, -3.5625]
[-16.4375, -1.0625, -3.5625]
[-9.5, -3.75, -0.4375]
[-9.5, -3.75, -0.4375]
[-2.375, -3.375, 2.5625]
[-2.375, -3.375, 2.5625]
[-2.375, -3.375, 2.5625]
[3.5, -0.6875, 2.125]
[0.5625, 5.5, 1.25]
[0.5625, 5.5, 1.25]
[-7.5, 11.1875, 4.8125]
[-7.5, 11.1875, 4.8125]
[-20.875, 14.625, 13.5]
[-20.875, 14.625, 13.5]
[-25.4375, 25.125, 37.4375]
[-25.4375, 25.125, 37.4375]
[6.6875, 47.875, 64.8125]
[6.6875, 47.875, 64.8125]
