[-27.1875, 12.125, -0.9375]
[65.75, 63.375, 163.8125]
[62.9375, 65.625, 160.875]
[62.9375, 65.625, 160.875]
[62.9375, 65.625, 160.875]
[56.75, 65.8125, 154.25]
[52.1875, 62.0625, 146.5625]
[52.1875, 62.0625, 146.5625]
[45.75, 55.3125, 141.75]
[35.75, 47.125, 134.375]
[35.75, 47.125, 134.375]
[35.75, 47.125, 134.375]
[28.25, 43.1875, 122.0625]
[27.625, 39.0, 110.6875]
[27.625, 39.0, 110.6875]
[21.9375, 31.125, 99.375]
[21.9375, 31.125, 99.375]
[12.9375, 20.1875, 89.625]
[12.9375, 20.1875, 89.625]
[7.375, 11.875, 78.375]
[7.375, 11.875, 78.375]
[2.375, 4.125, 67.6875]
[2.375, 4.125, 67.6875]
[4.0625, -2.75, 57.1875]
[4.0625, -2.75, 57.1875]
[2.5, -10.1875, 45.0]
[1.6875, -15.4375, 37.5]
[1.6875, -15.4375, 37.5]
[1.6875, -15.4375, 37.5]
[-1.1875, -19.0625, 31.0]
[-1.1875, -19.0625, 31.0]
[-9.125, -20.5, 23.375]
[-9.125, -20.5, 23.375]
[-13.1875, -24.375, 15.125]
[-14.125, -27.75, 8.375]
[-14.125, -27.75, 8.375]
[-14.125, -27.75, 8.375]
[-19.625, -28.5, 0.5625]
[-25.0625, -22.1875, -10.1875]
[-25.0625, -22.1875, -10.1875]
[-25.0625, -22.1875, -10.1875]
[-22.875, -22.6875, -11.75]
[-11.375, -20.25, -12.25]
[-11.375, -20.25, -12.25]
[-11.375, -20.25, -12.25]
[-6.8125, -14.625, -6.0]
[-18.375, -13.25, -2.9375]
[-18.375, -13.25, -2.9375]
[-19.4375, -13.125, -3.125]
[-19.4375, -13.125, -3.125]
[-1.3125, -9.3125, -4.9375]
[-1.3125, -9.3125, -4.9375]
[11.125, -3.8125, -2.3125]
[11.125, -3.8125, -2.3125]
[11.125, -3.8125, -2.3125]
[1.1875, -1.6875, 1.5]
[-1.25, -1.125, 2.0625]
[-1.25, -1.125, 2.0625]
[14.0625, 0.5625, 2.9375]
[14.0625, 0.5625, 2.9375]
[12.5, 1.6875, 2.4375]
[12.5, 1.6875, 2.4375]
[2.4375, 1.125, 1.5625]
[2.4375, 1.125, 1.5625]
[2.4375, 1.125, 1.5625]
[-6.5, 1.0625, -0.8125]
[-1.0, -1.0625, -3.0]
[-1.0, -1.0625, -3.0]
[-1.0, 2.375, -4.5625]
[-4.8125, 2.9375, -3.75]
[-4.8125, 2.9375, -3.75]
[-4.8125, 2.9375, -3.75]
[-10.625, 0.1875, -4.5625]
[-10.625, 0.1875, -4.5625]
[-12.75, -1.1875, -5.3125]
[-12.75, -1.1875, -5.3125]
[-18.8125, -0.5625, -9.125]
[-18.8125, -0.5625, -9.125]
[-18.375, 4.0, -14.6875]
[-18.375, 4.0, -14.6875]
[-10.625, 9.5, -22.5]
[-10.625, 9.5, -22.5]
[-8.75, 10.25, -33.5625]
[-7.25, 8.5625, -45.875]
[-7.25, 8.5625, -45.875]
[-7.8125, 3.375, -58.375]
[-7.8125, 3.375, -58.375]
[-15.8125, -2.9375, -74.3125]
[-15.8125, -2.9375, -74.3125]
[-26.0625, -10.75, -94.375]
[-26.0625, -10.75, -94.375]
[-33.125, -20.75, -112.625]
[-33.125, -20.75, -112.625]
[-37.1875, -24.9375, -128.3125]
[-37.1875, -24.9375, -128.3125]
[-39.75, -26.75, -140.8125]
[-39.75, -26.75, -140.8125]
[-42.1875, -29.625, -153.125]
[-42.1875, -29.625, -153.125]
[-43.125, -37.6875, -164.6875]
[-43.125, -37.6875, -164.6875]
[-50.4375, -48.625, -171.0]
[-50.4375, -48.625, -171.0]
[-64.125, -56.8125, -170.0]
[-64.125, -56.8125, -170.0]
[-64.375, -57.8125, -165.25]
[-64.375, -57.8125, -165.25]
[-56.1875, -59.3125, -157.3125]
[-56.1875, -59.3125, -157.3125]
[-55.0625, -62.375, -146.75]
[-55.0625, -62.375, -146.75]
[-55.0625, -62.375, -146.75]
[-52.1875, -59.375, -133.8125]
[-47.0625, -52.5, -119.3125]
[-47.0625, -52.5, -119.3125]
[-40.25, -46.9375, -103.9375]
[-40.25, -46.9375, -103.9375]
[-42.375, -43.3125, -91.625]
[-42.375, -43.3125, -91.625]
[-43.9375, -38.375, -80.0625]
[-43.9375, -38.375, -80.0625]
[-38.8125, -27.3125, -66.0625]
[-38.8125, -27.3125, -66.0625]
[-35.9375, -14.5, -51.5]
[-35.9375, -14.5, -51.5]
[-35.75, -4.0625, -38.875]
[-35.75, -4.0625, -38.875]
[-35.75, -4.0625, -38.875]
[-39.125, 1.6875, -30.4375]
[-45.125, 9.875, -19.125]
[-45.125, 9.875, -19.125]
[-36.0625, 19.375, -11.0625]
[-36.0625, 19.375, -11.0625]
[-36.0625, 19.375, -11.0625]
[-31.1875, 23.75, -5.75]
[-28.8125, 21.4375, -3.1875]
[-28.8125, 21.4375, -3.1875]
[-26.125, 17.1875, -3.25]
[-26.125, 17.1875, -3.25]
[-26.125, 17.1875, -3.25]
[-21.0625, 14.875, -1.875]
[-19.3125, 12.625, -1.1875]
[-19.3125, 12.625, -1.1875]
[-15.8125, 12.3125, -1.4375]
[-15.8125, 12.3125, -1.4375]
[-12.8125, 9.8125, -1.125]
[-12.8125, 9.8125, -1.125]
[-11.0, 7.375, -0.25]
[-11.0, 7.375, -0.25]
[-4.25, 5.125, -0.25]
[-4.25, 5.125, -0.25]
[-1.5625, 2.1875, 0.0625]
[-1.5625, 2.1875, 0.0625]
[1.25, -0.4375, 0.8125]
[1.25, -0.4375, 0.8125]
[1.25, -0.4375, 0.8125]
[2.625, -2.875, 2.125]
[3.8125, -4.8125, 1.5]
[3.8125, -4.8125, 1.5]
[4.75, -6.125, 1.125]
[4.75, -6.125, 1.125]
[5.8125, -6.1875, 1.75]
[5.8125, -6.1875, 1.75]
[7.9375, -7.75, 2.0625]
[9.5, -8.3125, 2.5625]
[9.5, -8.3125, 2.5625]
[9.5, -8.3125, 2.5625]
[11.6875, -8.5, 3.5]
[11.6875, -8.5, 3.5]
[14.0625, -9.9375, 4.875]
[14.0625, -9.9375, 4.875]
[18.375, -10.5625, 5.6875]
[18.375, -10.5625, 5.6875]
[18.75, -10.75, 6.875]
[18.75, -10.75, 6.875]
[20.0, -12.625, 8.75]
